Name of Foreign Business,Address (HO),Address (Main Operating Office),Type of Organization,Type of investment,Date Organized,Type of Business,US Company,American Owner - Address,Owned Through (Allied Foreign Organization),Principal Properties of Foreign Business,Production Data,Organizations Allied with the Foreign Organization,Directors and Officers of the Foreign Organization,Proportionate Interest of Persons other than Reporter,"License Agreements, Franchises, and Contracts",Percent Owned,Total Value of Interest Reported - Cost Per Book of Immediate Parent,Total Value of Interest Reported - Value Per Books of Foreign Organization In Currency Used,Total Value of Interest Reported - Value Per Books of Foreign Organization In USD or Currency of Immediate Parent,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Cost Per Book,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Value Per Books of Foreign Organization in Currency Used,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Value Per Books of Foreign Organization in USD or Currency of Immediate Parent,"Property Reported Damaged, Destroyed, or Seized Between Jan 1, 1938 and May 1943", ford report amount ,X/S,Property Reported Damaged,additional notes,type_Partnership,type_branch,type_ownership,type_unknown
Hudson Esser Motors Company M.H.,,,GmbH,ownership,3-Aug-27,,Hudson Motor Car Company,,NA,,,,,,,100%,"$119,000 ","Rm. 35,676","$14,306 ",NA,NA,NA,,,0.0,"Unknown - Presumed that property confiscated upon outbreak of war between USA and Germany.
In support of claim for loss through war on Federal Income Tax Returns the investment was written off by reporter.",,False,False,True,False
Hugo Stinnes G.m.b.H.,,,GmbH,ownership,1892,,"Hugo Stinnes Industries, Inc.",,NA,,,,,,,46%,"$12,913,514 ","Rm. 29,885,160","$11,983,949 ","$59,524 ","Rm. 148,439","$59,524 ",,,0.0,NA,,False,False,True,False
Hugo Stinnes G.m.b.H.,,,GmbH,ownership,about 1892,,"Hugo Stinnes Industries, Inc.",,Hugo Stinnes Reederei A.G.,,,,,,,28%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Hugo Stinnes Reederei A.G.,,,Corporation (Aktiengesellschaft),ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,NA,,,,,,,40%,"$95,251 ","Rm. 237,534","$95,251 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Hugo Stinnes Reederei A.G.,,,Corporation (Aktiengesellschaft),ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,N. V. Hugo Stinnes Handel en Transport Mij.,,,,,,,35%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Robert W. Hunt Company,,,Branch,branch,6-Apr-05,,Robert W. Hunt Company,,"Robert W. Hunt Company (London, England)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,True,False,False
Dr. Erich F. Huth G.m.b.H.,,,GmbH,ownership,29-Jun-08,,International Telephone and Telegraph Corp.,,"C. Lorenz, A.G.",,,,,,,51%,"Rm. 465,000","Rm. 468,667","$187,935 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Industrie-Export Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,6-Aug-35,,"New Jersey Industries, Inc.",,"Emil Koster Aktiengesellschaft (Rosenthalerstrasse 40/41, Berlin C.2",,,,,,,100%,"$3,400,000 ","Rm. 3,095,199.11","$1,241,175 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Industrie lackwerke A.G.,,,Corporation (Aktiengesellschaft),ownership,NA,,Hugo Stinnes Corporation,,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,18%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Injecta Aktiengesellschaft zur Fabrikation Chiurgischer Instruments,,,Corporation (Aktiengesellschaft),ownership,22-Dec-21,,"New Jersey Industries, Inc.",,"Bella Finanzierungs A.G. (Glarus, Switzerland) and Aktiengesellschaft Fuer Anlagewerte (Berlin, Germany)",,,,,,,100%,"Rm. 750,000","Rm. 939,599","$376,779 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Injecta Aktiengesellschaft zur Fabrikation Chiurgischer Instruments,,,Corporation (Aktiengesellschaft),ownership,22-Dec-21,,"New Jersey Industries, Inc.",,"Emil Koster Aktiengesellschaft (Rosenthalerstrasse 40/41, Berlin C.2",,,,,,,100%,"Rm. 750,000","Rm. 939,599.82","$376,779 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Intava Arbeitsgemeinschaft Der Deutsche-Amerikanischen Petroleum-Gesellschaft Und Der Deutschen Vacuum Oil - Aktiengesellschaft Fur Entwicklung Und Vertrieb Von Luftfahrt-Kraft- Und Schmierstoffen,,,Arbeitsgemeinschaft,ownership,1-Feb-38,,"Socony-Vacuum Oil Company, Inc.",,"Deutsche Vacuum Oel, A.G.",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Intava Arbeitsgemeinschaft Der Deutsche-Amerikanischen Petroleum-Gesellschaft Und Der Deutschen Vacuum Oil - Aktiengesellschaft Fur Entwicklung Und Vertrieb Von Luftfahrt-Kraft- Und Schmierstoffen,,,Arbeitsgemeinschaft,ownership,1-Feb-38,,Standard Oil Company (New Jersey),,Deutsch-Amerikanische Petroleum-Gesellschaft,,,,,,,50%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"International Harvester Company, m.b.H.",,,GmbH,ownership,30-Dec-08,,International Harvester Company,,NA,,,,,,,100%,"$3,230,368 ","Rm. 35,109,046","$14,078,727 ",NA,NA,NA,,,0.0,"The information reported for Germany is as of October 31, 1929, this being the last date on which complete data regarding the properties in this country were received since the war. It is not known to what extent these properties have been damaged, destroyed, or seized.",,False,False,True,False
"International Harvester Company, m.b.H.",,,GmbH,ownership,NA,,International Harvester Export Co.,,NA,,,,,,,NA,"$104,546 ","$104,546 ","$104,546 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg),,,GmbH,ownership,31-May-05,,Chicago Pneumatic Tool Co.,,NA,,,,,,,100%,"$190,595 ","Rm. 3,814,071","$1,529,442 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Intertype Fabrik G.m.b.H.,,,GmbH,ownership,1928,,Intertype Corporation,,Intertype Setzmaschinen G.m.b.H.,,,,,,,100%,"Rm. 25,000","Rm. 91,317","$36,618 ","Rm. 59,811","Rm. 59,811","$23,984 ",,,0.0,Do not know present condition of assets. All properties considered destoyed by Intertype Corporation,,False,False,True,False
Intertype Setzmaschinen G.m.b.H.,,,GmbH,ownership,1926,,Intertype Corporation,,NA,,,,,,,100%,"$544,776 ","Rm. 1,442,074","$570,252 ","$140,000 ","Rm. 349,129","$140,000 ",,,0.0,Do not know present condition of German assets. For U.S. Income Tax purpose the assets are being considered destroyed.,,False,False,True,False
Iris Type G.m.b.H.,,,GmbH,ownership,NA,,Underwood Elliott Fisher Company,,"Mercedes Buromaschinen Werke A. G. (Zella-Mahlis, Germany)",,,,,,,100%,"Rm. 280,001","Rm. 383,588","$153,818 ","Rm. 19,559","Rm. 19,559","$7,843 ",,,0.0,It is believed that the underlying assets have been seized by the German Government,,False,False,True,False
Ivers & Company,,,Branch,branch,NA,,"Hugo Stinnes Industries, Inc.",,Kohlen Import & Poseidon A.G. (Koenigsberg (East Prussia) Germany),,,,,,,100%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,True,False,False
Jacob Trefz & Soehne,,,GmbH,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Jahresuhren Fabrik G.m.b.H.,,,GmbH,ownership,NA,,Remington Rand Inc.,,Kardex A. G.,,,,,,,NA,"Rm. 500,000",NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Jocca Werke G.m.b.H.,,,GmbH,ownership,7-May-35,,Kraft Cheese Company,,Kraft Kaese Werke G.m.b.H.,,,,,,,100%,"Rm. 20,000","Rm. 20,000","$8,020 ","Rm. 20,000","Rm. 20,000","$8,020 ",,,0.0,No properties.,,False,False,True,False
Kaehler,,,Branch,branch,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,True,False,False
Kardex A.G.,,,Corporation (Aktiengesellschaft),ownership,18-Nov-22,,Remington Rand Inc.,,NA,,,,,,,64%,"$232,296 ","Rm. 877,367","$351,824 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Kardex A.G.,,,Corporation (Aktiengesellschaft),ownership,18-Nov-22,,Remington Rand Inc.,,Kardex System G.m.b.H.,,,,,,,30%,"Rm. 518,538","Rm. 438,908","$176,002 ","Rm. 287,259","Rm. 287,259","$115,100 ",,,0.0,NA,,False,False,True,False
Kardex System G.m.b.H.,,,GmbH,ownership,4-Oct-27,,Remington Rand Inc.,,NA,,,,,,,100%,"$31,797 ","Rm. 1,597,934","$640,771 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Karl Fr. Tollner Nachrmittelfabrik G.m.b.H.,,,GmbH,ownership,1-Sep-30,,Corn Products Refining company,,Mondamin Gesellschaft m.b.H.,,,,,,,50%,"Rm. 200,000","Rm. 279,867","$112,227 ",,,,,,0.0,NA,,False,False,True,False
Walter Kidde G.m.b.H.,,,GmbH,ownership,1931,,Walter Kidde & Company,,NA,,,,,,,100%,"$8,948 ","Rm. 26,506","$10,628 ",NA,NA,NA,,,0.0,"Since no information is available as to the condition or earnings of this company, the whole investment and advances were written off during 1941.",,False,False,True,False
"Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung",,,GmbH,ownership,1930,,I. B. Kleinert Rubbert Company,,NA,,,,,,,100%,"$222,247 ","Rm. 72,350","$72,350 ",NA,NA,NA,,,0.0,"Due to the repeated bombing of Hamburg, we believed that the buildings have been leveled to the ground, although we have no definite information to this effect, and there fore, we have set up a reserve wrtiting the above mentioned amount down to $1.00. As the L.B. Kleinart Rubber Company G.m.b.H. Hamburg, has been inactive, weare unable to quote any German book value of the remaining asset of land and buildings.",,False,False,True,False
C. H. Knorr A.G.,,,Corporation (Aktiengesellschaft),ownership,"July 11, 1899",,Corn Products Refining company,,NA,,,,,,,11%,"$95,873 ","Rm. 636,800","$255,357 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
C. H. Knorr A.G.,,,Corporation (Aktiengesellschaft),ownership,"July 11, 1899",,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,5%,"Rm. 558,579","Rm. 290,700","$116,570 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Kodak Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,21-Jun-27,,Pown Corporation,,NA,,,,,,,5%,"$271,150 ","Rm. 1,381,796","$554,100 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Kodak Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,21-Jun-27,,Eastman Kodak Company,,NA,,,,,,,95%,"$6,400,426 ","Rm. 29,044,011","$11,646,689 ",NA,NA,NA,,,0.0,"By the action of the Coard of Directories, the investment of the property in and receivable from Kodak A.G. Berlin, were written off the books of the Eastman Kodak Company at December 27, 1941. As this company is located in an enemy country, it is assumed that the properties have been seized. It is not known whether any damage has been done to the properties.",,False,False,True,False
Kohlen Import & Poseidon A.G.,,,Corporation (Aktiengesellschaft),ownership,NA,,"Hugo Stinnes Industries, Inc.",,NA,,,,,,,40%,"$282,853 ","Rm. 707,863","$283,853 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Kohlen Import & Poseidon A.G.,,,Corporation (Aktiengesellschaft),ownership,about 1920,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,60%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"Kohlenscheidungs-Gesellschaft, m.b.H.",,,GmbH,ownership,about 1924-1925,,Combustion Engineering Co. Inc.,,"N. V. Carbo-Union Industrie Mastschappij (Rotterdam, Holland)",,,,,,,51%,"Fl. 462,704.62","Rm. 780,547","$312,999 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Kohleverkauf Ludwig Jung G.m.b.H.,,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,50%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Kohler-Werke G.m.b.H.,,,GmbH,ownership,27-Jun-35,,Kraft Cheese Company,,Kraft Kaese Werke G.m.b.H.,,,,,,,100%,"Rm. 20,000","Rm. 20,000","$8,020 ","Rm. 20,000","Rm. 20,000","$8,020 ",,,0.0,No properties.,,False,False,True,False
Koehlmann Werke A.G.,,,Corporation (Aktiengesellschaft),ownership,"November 6, 1871",,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,48%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Koenig Medicine Company,,,unknown,unknown,"May 28, 1897",,Koenig Medicine Co.,,NA,,,,,,,NA,"$17,841 ","Rm. 44,492","$17,841 ",NA,NA,NA,,,0.0,NA,,False,False,False,True
Koenigsberger Kohlen & Koks G.m.b.H.,,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,Kohlen Import & Poseidon A.G. (Koenigsberg (East Prussia) Germany),,,,,,,100%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Emil Koster Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,21-Apr-26,,"New Jersey Industries, Inc.",,NA,,,,,,,100%,"$1,000,000 ","Rm. 19,010,096.96","$7,623,048 ",NA,NA,NA,,,0.0,"All of the shares of the Emil Koester A.G. were deposited with the Guaranty Trust Company in Paris, France and were confiscated by the German authorities according to information received from the Guaranty Trust Co.",,False,False,True,False
Kraft Kaese Werke G.m.b.H.,,,GmbH,ownership,28-Apr-27,,Kraft Cheese Company,,NA,,,,,,,100%,"$150,238 ","Rm. 1,246,535","$499,861 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Kraft Kaese Werke G.m.b.H.,,,GmbH,ownership,28-Apr-27,,Kraft Cheese Company,,"Kraft Cheese Company Ltd. (Middlesex, England)",,,,,,,NA,"£ 4,488","Rm. 78,134","$31,332 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Kristall Glaswerk A.G.,,,Corporation (Aktiengesellschaft),ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Lindor Werke G.m.b.H.,,,GmbH,ownership,29-Mar-32,,Kraft Cheese Company,,Kraft Kaese Werke G.m.b.H.,,,,,,,100%,"Rm. 20,000","Rm. 20,000","$8,020 ","Rm. 20,000","Rm. 20,000","$8,020 ",,,0.0,No properties.,,False,False,True,False
"Linotype, G.m.b.H.",,,GmbH,ownership,NA,,Mergenthaler Linotype Company,,"Mergenthaler Setzmaschinen-Fabrik (Berlin, Germany)",,,,,,,100%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"Lohse, Gustave A.G.",,,Corporation (Aktiengesellschaft),ownership,6-Apr-22,,Richard Hudnut,,NA,,,,,,,NA,"£1,376","Rm. 3,431","$1,376 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Lohse, Gustave A.G.",,,Corporation (Aktiengesellschaft),ownership,6-Apr-22,,International Affiliated Corporation,,NA,,,,,,,50%,"$240,647 ","Rm. 1,172,914","$470,338 ",NA,NA,NA,,,0.0,"Journal Entry of December 1941: 
Worthless Stock $ 240,647
Investment in Afflilated Company $240,647
To write off the investment as a war loss",,False,False,True,False
"Lorenz, C. A.G.",,,Corporation (Aktiengesellschaft),ownership,12-Oct-06,,International Standard Electric Corp.,,NA,,,,,,,NA,"$91,353 ","$91,353 ","$91,353 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Lorenz, C. A.G.",,,Corporation (Aktiengesellschaft),ownership,12-Oct-06,,International Telephone and Telegraph Corp.,,NA,,,,,,,98.74%,"$5,571,798 ","Rm. 20,976,360","$8,411,520 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Lorenz Radio Vertriebe G.m.b.H.,,,GmbH,ownership,6-May-26,,International Telephone and Telegraph Corp.,,"C. Lorenz, A.G.",,,,,,,100%,"Rm. 20,000","Rm. 20,000","$8,020 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Ludwig Sudicatis G.m.b.H.,,,GmbH,ownership,NA,,International Telephone and Telegraph Corp.,,Baruta Import & Export GmbH,,,,,,,2%,"Rm. 15,950","Rm. 16,938","$6,792 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Ludwig Sudicatis G.m.b.H.,,,GmbH,ownership,10-Apr-22,,International Telephone and Telegraph Corp.,,Telephone Fabrik Berliner A.G.,,,,,,,98%,"Rm. 950,164","Rm. 829,937","$332,805 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"H. K. Mccann Company, m.b.H.",,,GmbH,ownership,NA,,"Mccann-Erickson, Inc.",,NA,,,,,,,100%,"$78,906 ","Rm. 252,981","$101,445 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Maizenhaus Gesellschaft m.b.H.,,,GmbH,ownership,2-Jan-34,,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,100%,"Rm. 25,000","Rm. 26,250","$10,526 ","Rm. 21,731","Rm. 21,731","$8,714 ",,,0.0,NA,,False,False,True,False
Maizenhaus Gesellschaft m.b.H.,,,GmbH,ownership,30-Apr-34,,Corn Products Refining company,,NA,,,,,,,100%,"$174,914 ","Rm. 1,601,348","$642,141 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Markt & Co.,,,unknown,unknown,NA,,Markt & Hammacher Co.,,NA,,,,,,,NA,"$57,153 ","Rm. 142,527","$57,153 ",NA,NA,NA,,,0.0,NA,,False,False,False,True
Markt & Co.,,,Branch,branch,December 1909,,Markt & Co. Inc.,,NA,,,,,,,NA,"$24,485 ","Rm. 197,318","$72,124 ",NA,NA,NA,,,0.0,"It is believed that the properties reported herein or the assets underlysing such property has been destroyed as a result of the war prior to May 31, 1943.",,False,True,False,False
Maschinen-Export G.m.b.H.,,,GmbH,ownership,14-Apr-34,,"New England Industries, Inc.",,Maschinenfabriken Wagner-Doerries Aktiengesellschaft (formerly: Maschinenfabrik Aktiengesellschaft vorm. Wagner & Co. ),,,,,,,100%,Uncertainable,"Rm. 20,000","$8,020 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Maschinenfabrik Banning & Seybold A.G.,,,Corporation (Aktiengesellschaft),ownership,8-Nov-32,,"New England Industries, Inc.",,Maschinenfabriken Wagner-Doerries Aktiengesellschaft (formerly: Maschinenfabrik Aktiengesellschaft vorm. Wagner & Co. ),,,,,,,100%,"Rm. 400,000","Rm. 150,000","$66,165 ",NA,"Rm. 277,022","$111,086 ",,,0.0,NA,,False,False,True,False
Maschinenfabril EINSIEDEL G.m.b.H.,,,GmbH,ownership,1920,,"Robert Reiner, Incorporated",,NA,,,,,,,75%,"$112,541 ","Rm. 1,002,321","$401,930 ",NA,NA,NA,,,0.0,Entire investment on allied organization as written off on 11/39/42.,,False,False,True,False
Maschinenfabrik Turner Aktien-Gesellschaft,,,Corporation (Aktiengesellschaft),ownership,1-Jul-10,,United Shoe Machinery Corporation,,NA,,,,,,,79%,"$239,385 ","Rm. 2,083,288","$835,398 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Maschinenfabriken Wagner-Doerries Aktiengesellschaft (formerly: Maschinenfabrik Aktiengesellschaft vorm. Wagner & Co. ),Maschinenfabriken Wagner-Doerries Aktiengesellschaft (formerly: Maschinenfabrik Aktiengesellschaft vorm. Wagner & Co. ),Maschinenfabriken Wagner-Doerries Aktiengesellschaft (formerly: Maschinenfabrik Aktiengesellschaft vorm. Wagner & Co. ),Corporation (Aktiengesellschaft),ownership,"October 1, 1890",,"New England Industries, Inc.",,NA,,,,,,,50.2% (preferred stock 100%),"$24,000 ","Rm. 1,628,610","$653,072 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Maschinenoel Import Gesellschaft m.b.H.,,,GmbH,ownership,2-Jan-14,,Gulf Oil Corporation,,"N. V. Credietvereeniging voor den handel in Petroleumproducten (Rotterdam, Netherlands)",,,,,,,100%,"Guilders 2,222,985.94","Rm. 2,552,100.96",NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Mathias Stinnes G.m.b.H.,,,GmbH,ownership,Prior to 1890,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Mecklenburgische Erdol G.m.b.H.,,,GmbH,ownership,7-Aug-29,,Jadev Corporation,,"Gewerkschaft Brigitta (Ferdinandstrasse 27 Hanover, Germany",,,,,,,100%,"$5,000 ",NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Mercedes Buromaschinen Werke A.G.,,,Corporation (Aktiengesellschaft),ownership,NA,,Underwood Elliott Fisher Company,,NA,,,,,,,100%,"$1,671,960 ","Rm. 13,994,364","$5,611,740 ",NA,NA,NA,,,0.0,"The property reported hereon is believed to have been seized by the German Government. The investment as hsown in Column (3) has been wrtitten off to profit and loss on December 31, 1941.",,False,False,True,False
"Mergenthaler Setzmaschinen-Fabrik, G.m.b.H.",,,GmbH,ownership,"October 28, 1896",,Mergenthaler Linotype Company,,NA,,,,,,,65%,"$1,534,999 ","Rm. 7,348,651","$2,947,210 ",NA,NA,NA,,,0.0,"It is our understanding based on information obtained from various sources that this property has been destroyed. However, we have no means of comfirming this.",,False,False,True,False
"Metallkentor, G.m.b.H.",,,GmbH,ownership,1931 or earlier,,Central European Holding Corporation c/o Cotton Brenner & Wrigley,,NA,,,,,,,80%,"$17,615 ","Rm. 98,769","$39,606 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Metallkentor, G.m.b.H.",,,GmbH,ownership,1905,,The Torrington Company,,NA,,,,,,,100%,"$31,430 ","Rm. 1,219,107","$488,862 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Metallwarenvertrieb G.m.b.H.,,,GmbH,ownership,1926,,Gillette Safety Rasor Company,,Roth Buchner - G.m.b.H.,,,,,,,100%,"Rm. 20,033","Rm. 19,885","$7,973 ","Rm. 20,033","Rm. 19,885","$7,973 ",,,0.0,"No information since August, 1941",,False,False,True,False
Metro-Goldwyn Mayer Film A.G.,,,Corporation (Aktiengesellschaft),ownership,27-Aug-31,,Loew's Incorporated,,NA,,,,,,,100%,"$124,650 ","Rm. 856,265","$343,362 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Johann Lorenz Michel G.m.b.H.,,,GmbH,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,25%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Midgard Deutsche See Verkehrs A.G.,,,Corporation (Aktiengesellschaft),ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,NA,,,,,,,49%,"$117,071 ","Rm. 291,948","$117,071 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Midgard Deutsche Seeverkehrs A.G.,,,Corporation (Aktiengesellschaft),ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,51%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Mineraloel-Raffinerie vorm. August Korff,,,Corporation (Aktiengesellschaft),ownership,"June 22, 1887",,Standard Oil Company (New Jersey),,NA,,,,,,,93%,"$461,491 ","Rm. 2,345,552","$940,366 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Mix & Genest Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,"May 6, 1896",,International Telephone and Telegraph Corp.,,Standard Elektizitats Gesellschaft A.G.,,,,,,,94%,"Rm. 9,933,834","Rm. 13,168,941","$5,280,745 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Mix & Genest Hansawerke , G.m.b.H.",,,GmbH,ownership,23-Dec-08,,International Telephone and Telegraph Corp.,,Mix & Genest Aktiengesellschaft,,,,,,,100%,"Rm. 242,656","Rm. 314,156","$125,977 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Mondamin Gesellschaft,,,GmbH,ownership,11-Sep-13,,Corn Products Refining company,,NA,,,,,,,75%,"$55,000 ",NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Morris & Co. G.m.b.H.,,,GmbH,ownership,7-Sep-23,,Armour & Company,,"Tietgens & Robertson, G.m.b.H.",,,,,,,100%,"Rm. 5,000",0,$0 ,NA,NA,NA,,,#DIV/0!,NA,,False,False,True,False
Muelberger & Co. G.m.b.H.,,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Muelheimer Bergwerks Verein A.G.,,,Corporation (Aktiengesellschaft),ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Rudolf Mueller & Soehne G.m.b.H.,,,GmbH,ownership,NA,,Hugo Stinnes Corporation,,NA,,,,,,,71%,NA,"Rm. 284,200","$113,964 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Mundlos Akteingesellschaft, Magdeburg",,,Corporation (Aktiengesellschaft),ownership,1-Jul-20,,"New Jersey Industries, Inc.",,"Emil Koster Aktiengesellschaft (Rosenthalerstrasse 40/41, Berlin C.2",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Nassauer Hof A.G. (Hotel Nassau),,,Corporation (Aktiengesellschaft),ownership,NA,,Hugo Stinnes Corporation,,NA,,,,,,,31.15%,"$297,923 ","Rm. 1,251,271","$501,760 ",NA,NA,NA,,,,NA,,False,False,True,False
(Hotel Nassau) Nassauer Hof A.G.,,,Corporation (Aktiengesellschaft),ownership,NA,,Hugo Stinnes Corporation,,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,39%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Nationale Radiator Gesellschaft m.b.H.,,,GmbH,ownership,6-May-01,,American Radiator & Standard Sanitary Corporation,,NA,,,,,,,100%,"$8,429,242 ","Rm. 35,895,072","$14,393,923 ",NA,NA,NA,,,0.0,We believed all the property reported gereon was seized by Germany at the time war was declared by the United States against this country.,,False,False,True,False
National-Krupp Registrier-Kassen G.m.b.H.,,,GmbH,ownership,"February 13, 1896",,The National Cash Register Company,,NA,,,,,,,80%,"$2,232,325 ","Rm. 16,516,795","$6,623,235 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
