page,text,column,US company name,US Company,affiliated German firm name,Master German firm name,section,notes,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affilated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement,Gemini_firm_name,Gemini_german_subsidiary,Gemini_notes
1732,"Spain; Hijos de H. A, Bender, of San Failli, Spahi; H, A. Bender Bohne, of Mannheim, Germany; Korkfebrik, Franken, ",center,"CROWN CORK INTERNATIONAL CORPORATION (Controlled by Crown, Cork & Seal Co., Inc.)",Crown Cork International Corporation,"Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany","Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany",Description,"Corporation owns directly or through subsidiaries a controlling interest in following companies: Crown Cork Co., Ltd., of Southall, Eng.,  which owns a branch plant at Rio de Janeiro, Brazil; Wallis Crown Cork Co., Ltd of London, Eng.; Crown Cork & Seal Co. Ltd., of Toronto, Can.; Fulham Crown Cork Works (1928) Ltd., of London, Eng.: Corchera Internadonal. of Sevills, Spain; Hijos de H. A, Bender, of San Failli, Spain; H, A. Bender Bohne, of Mannheim, Germany; Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany; Société du Bouchon Couronne, of Paris, France.",True,False,False,True,False,False,False,False,CROWN CORK INTERNATIONAL CORPORATION,"Hijos de H. A. Bender Sohne, of Mannheim; Korkfabrik, Frankenthal","Incorporated in Delaware Sept. 6, 1928 as a holding company to acquire and develop companies engaged in the bottle crown business and other branches of the cork industry outside of United States. Corporation owns directly or through subsidiaries a controlling interest in following companies: Crown Cork Co., Ltd., of Southall, Eng.; Crown Cork Co., Ltd. of Rio de Janeiro, Brasil; Wallia Crown Cork Co. (1928) Ltd., of London, Eng.; Crown Cork & Seal Co., Ltd., of Toronto, Can.; Fulham Crown Cork Works (1928) Ltd., of London, Eng.; Corchera Internacional, of Sevilla, Spain; Hijos de H. A. Bender Sohne, of Mannheim, Germany; Korkfabrik, Frankenthal, Germany; Societe du Bouchon Couronne, of Paris, France. Combined capacity of plants totals 24,000,000 gross of natural cork discs per annum. Crown Sales, years ended Dec. 31, 1931 (gross): 1931, 16,544,724; 1930, 18,248,199; 1929, 20,570,224; 1928, 13,921,288."
1747,international Harvester Co. m. b. H. (Germany) ,left,INTERNATIONAL HARVESTER COMPANY,International Harvester Company,International Harvester Co. m. b. H. ,"International Harvester Company, m.b.H.",Subsidiaries,,True,False,False,True,False,False,False,False,International Harvester Corporation,"International Harvester Co. m. b. H. (Germany), Aktiebolaget International Harvester Co. (Germany)","International Harvester Corporation was incorporated Sept. 19, 1918, in New Jersey, as a consolidation of the International Harvester Co. of New Jersey and the International Harvester Company. Company acquired all property rights, franchises, etc., of the two old companies, and assumed all their debts, liabilities and duties. Charter is perpetual. Company is engaged in the manufacture and sale in the United States and in foreign countries, of agricultural machinery, harvester-threshers, grain binders, corn binders, reapers, headers, mowers, rakes, shredders, hay tools, seeding machines, manure spreaders, tillage implements, plows, cream separators, milking machines, etc.), and binder twine, gasoline and oil engines, farm and industrial tractors, and motor trucks. In Mar., 1933, the company announced that future purchasers (in 1933) of farm tractors, harvester-threshers or combines, windrow threshers, and stationary engines would be permitted to pay the installment not in excess of 40% of the purchase price) due in the fall of 1933 on the basis of 70 cents wheat (No. 2 hard) and 50 cents corn (No. 2 yellow) at Chicago and 8½ cents cotton (middling) at New Orleans. Thus, when the installment came to be fall of 1933, prices of the products mentioned are lower than those specified, the amount that the farmer will pay in full satisfaction of that installment will be in the same proportion to the sales amount of the installment due as the prices then prevailing for the products mentioned are to the prices specified above. The plan does not provide for payment due in 1934. A similar plan was adopted by International Harvester Co. of Canada, Ltd."
1749,"Loo Angeles, New Orleans, London, Eng., and Berlin, Germany. Owns entire capital stock of lntertype, Ltd. (London) i ",center,INTERTYPE CORPORATION,Intertype Corporation,Intertype Setzmaschinen G. m. b. H.,Intertype Setzmaschinen G.m.b.H.,Description,"Also maintains selling branches in Chicago, San Francisco, Boston, Los Angeles, New Orleans, London, Eng., and Berlin, Germany. Owns entire capital stock of lntertype, Ltd. (London); Intertype Setzmaschinen G. m. b. H. and intertype Fabric G. m. b. H. (Germany)",True,False,False,True,False,False,False,False,Intertype Corporation,"Intertype Fabric G. m. b. H., Intertype Fabric G. m. b. H. (German Service Corp.)","Earned on stock based on net earnings before stock retirement deduction. The balance sheet as of Dec. 31, 1931, includes net assets of English subsidiary at par of exchange, with no allowance for exchange loss. A $250,000 special reserve from surplus is provided for exchange rate difference. Bonded Debt: Intertype Corp. debenture gold 5½s, authorized $1,000,000, outstanding $876,000, due June 1, 1942, and callable under specified terms. Capital Stock: 1. Intertype Corp. 8% cum. first preferred, authorized $1,500,000, outstanding $1,011,888,500, par $100, with dividend preference, callable, and equal voting power. A redemption fund is maintained. 2. Intertype Corp. 6% cum. second preferred, authorized $1,000,000, outstanding $2,550, par $100, with equal voting power and convertible to common. 3. Intertype Corp. common, authorized 800,000 shares, outstanding 231,614 shares, no par, with equal voting power. Details on past regular and extra dividends are provided."
1749,"Loo Angeles, New Orleans, London, Eng., and Berlin, Germany. Owns entire capital stock of lntertype, Ltd. (London) i ",center,INTERTYPE CORPORATION,Intertype Corporation,Intertype Fabric G. m. b. H.,Intertype Fabrik G.m.b.H.,Description,"Also maintains selling branches in Chicago, San Francisco, Boston, Los Angeles, New Orleans, London, Eng., and Berlin, Germany. Owns entire capital stock of lntertype, Ltd. (London); Intertype Setzmaschinen G. m. b. H. and intertype Fabric G. m. b. H. (Germany)",True,False,False,True,False,False,False,False,Intertype Corporation,"Intertype Fabric G. m. b. H., Intertype Fabric G. m. b. H. (German Service Corp.)","Earned on stock based on net earnings before stock retirement deduction. The balance sheet as of Dec. 31, 1931, includes net assets of English subsidiary at par of exchange, with no allowance for exchange loss. A $250,000 special reserve from surplus is provided for exchange rate difference. Bonded Debt: Intertype Corp. debenture gold 5½s, authorized $1,000,000, outstanding $876,000, due June 1, 1942, and callable under specified terms. Capital Stock: 1. Intertype Corp. 8% cum. first preferred, authorized $1,500,000, outstanding $1,011,888,500, par $100, with dividend preference, callable, and equal voting power. A redemption fund is maintained. 2. Intertype Corp. 6% cum. second preferred, authorized $1,000,000, outstanding $2,550, par $100, with equal voting power and convertible to common. 3. Intertype Corp. common, authorized 800,000 shares, outstanding 231,614 shares, no par, with equal voting power. Details on past regular and extra dividends are provided."
1751,"steli ung, Aktiengesellschaft, GeleenJdrchan, Germany.",right,LIBBEY-OWENS-FORD GLASS COMPANY,Libbey-Owens-Ford Glass Company,"Deutsche Libbey-Owens Gesellschaft fuer Maschinelle Glasherstellung, Aktiengesellschaft, Gelsenkirchen, Germany.",,Licensees,,False,False,False,False,False,False,False,True,LIBBEY-OWENS-FORD GLASS COMPANY,"Deutsche Libbey-Owens Gesellschaft, Für Maschinelle Glasherstellung, Gelsenkirchen, Germany","Incorporated in Ohio, May 18, 1916, as Libbey-Owens Sheet Glass Co., changing name to Libbey-Owens-Ford Glass Co. in July 1929. The company manufactures plate glass using the Colburn process. It operates plants in Charleston, W. Va., Toledo, Rossford, Lancaster, Ohio, Shreveport, La., and Ottawa, Ill. The Kanawha City plant, a six-machine operation, commenced in October 1927. The company expanded its facilities in September 1920, adding furnaces and machines. It has a reliable natural gas supply. A plate glass plant in Toledo was completed in July 1925, with an 8,000,000 square feet annual capacity. An additional sheet glass unit was opened in November 1928, and a new laminated glass plant commenced production in December 1928. The company acquired assets of Fairfield Sheet Glass Co. in February 1928, control of Adamston Flat Glass Co. in October 1928, and 475,000 shares of Edward Ford Plate Glass Co. in May 1930. On July 1, 1931, it acquired plants of National Plate Glass Co., a GM subsidiary. In January 1932, it purchased patents from Triplex Safety Glass Co. of North America and entered a cross-license agreement with Pittsburgh Plate Glass Co. The company is also involved in the Belgian Glass Trust, Union des Verreries Mecaniques Belges, holding an 80% share of the total Belgian glass output, aiming to reduce production costs."
1803,in Germany Including 388.000 acres of ,left,MAGDALENA SYNDICATE,Magdalena Syndicate,Nord Deutsche Mineraloel A. G.,,Description,"In April, 1931 acquired oil properties in Germany Including 388,000 acres of land in North Germany. Two refineries now under lease and in operation are included. The purchase was effected through the issuance of 2,408,000 additional shares of common stock of the syndicate. Owns 95% of the Nordoel Co. (Nord Deutsche Mineraloel A. G.), acquired in April 1931.",True,False,True,False,False,False,False,False,Magdalena Syndicate,Nordoel Co. (Nord Deutsche Mineraloel A. G.),"Magdalena Syndicate acquired oil properties in Germany in April 1931, including 388,000 acres of land in North Germany. Two refineries are under lease and in operation there. The acquisition was made through the issuance of 2,400,000 additional shares of common stock of the Syndicate. Magdalena Syndicate owns 97% of Nordoel Co."
1811,Hamburg. Germany; and ,left,CENTRAL CUBA SUGAR CO.,Central Cuba Sugar Co.,,,Bonded Debt,"Interest paid J&J 1. at company's office. New York, and at office of Trustees in London, England, in sterling; also in Hamburg. Germany; and Amsterdam, Holland. ",False,False,False,False,False,False,False,False,Central Cuba Sugar Co.,None found,"The document mentions 'Hamburg, Germany' as a location where interest payments for a bond of Central Cuba Sugar Co. can be made. However, it does not indicate any German subsidiary for this firm or any other firm listed on the page."
1942,"Germany, and Compagnia Itallana Forme Aceiaio, Milan. ",left,BLAW-KNOX CO.,Blaw-Knox Co.,"Blaw-Knox G.m.b.H., Dusseldorf, Germany",,Description,"Company Is affiliated with Blaw-Knox, Ltd., Cowan Hulbert, Ltd, and Milliken Bros., Ltd, London, Eng., Compagnie Française Blaw-Knox, Parla, France, Blaw-Knox G.m.b.H., Dusseldorf, Germany, and Compagnia Itallana Forme Aceiaio, Milan, Italy.",False,False,False,False,True,True,False,False,BLAW-KNOX CO.,"Blaw-Knox G.m.b.H., Dusseldorf","Incorporated in New Jersey, March 6, 1906 as Blaw-Collapsible Steel Centering Co., adopting its present name in 1917 after merging with Knox Pressed & Welded Steel Co. The company manufactures steel products for road building, general construction, oil and gas, process, and lime industries, industrial and public utility plants, and railroads. Its main plant is in Blawnox, Pa., with another plant in Baltimore. It owns all outstanding stock of Hoboken Land Co. and Blaw-Knox Construction Co. In 1927, it acquired Milliken Brothers Mfg. Co. and formed Milliken Bros.-Blaw-Knox Corp. (later Blaw-Knox International Corp.) for foreign operations. The company is affiliated with various international entities including Blaw-Knox G.m.b.H., Dusseldorf, Germany. It has expanded through several acquisitions, including Andrews-Bradshaw Co. (1928), A. W. French & Co. (1929), National Alloy Steel Co., Union Steel Casting Co., Pittsburgh Rolls Corp., and Lewis Foundry & Machine Co. (1929). In 1930, it acquired sales and manufacturing rights for the 'Ateco' line of earth-moving machinery. In 1932, it formed Blaw-Knox & Western Pipe Co. for manufacturing and sales on the Pacific Coast."
2304,"which owns two plants in Baden, Germany, andl 95.8% of ",center,"RITTER DENTAL MFG. CO., INC.","Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)","Ritter, A.G.",,Description,"Owns 96% of capital stock of Ritter, A. G., which owns two plants in Baden, Germany",True,False,True,False,False,True,False,False,"Ritter Dental Mfg. Co., Inc.",Ritter A. G.,"Incorporated in Delaware, June 30, 1926, to acquire business and assets of predecessor company of same name established in 1888. Manufactures equipment for dental offices and laboratories. Plant, containing 279,444 sq. ft. of floor space, is located at Rochester, N. Y. Owns 96% of capital stock of Ritter A. G., which owns two plants in Baden, Germany, and 98.3% of capital stock of Forstbauer Dental Equipment Co. Has branch offices in New York, Philadelphia, Chicago, San Francisco and Los Angeles. In July, 1928, acquired Electro-Dental Mfg. Co. of Philadelphia, which was liquidated in 1929. Employs about 1,400."
2341,"Dartex, A.G., Germany. Manufactures sealing compositions ",left,DEWEY & ALMY CHEMICAL CO.,Dewey & Almy Chemical Co.,"Dartex, A.G.",,Description,"Also owns a 50% interest in Dartex, A.G., Germany.",True,False,True,False,False,False,False,False,DEWEY & ALMY CHEMICAL CO.,"Dartex, A.G.","Incorporated under Massachusetts laws in 1919. Controls the Multibestos Co. (acquired in May, 1930). Other subsidiaries include Dewey & Almy Chemical Co. of Canada, Ltd., Dewey & Almy, Ltd. (Eng.) and Dewey & Almy Chemical Co. (Ill.). Manufactures sealing compositions, soldering fluxes, labeling adhesives, shoe soles and heels, soda lime, brake linings, brake blocks and clutch facings. Plants located at Cambridge, Mass., Oakland, Cal., Naples, Italy, Farnham, P. Q., Canada, London, England and Walpole, Mass. Number of employees as of Dec. 31, 1930, was 475."
2342,"Germany), N. Eitingon A Co. (Textile Co.) (Lodz, Poland), ",right,EITINGON-SCHILD CO. INC.,"Eitingon Schild Co., Inc.","Ch. Eitingon, AG. (Leipzig,Germany)",,Description,"The following are subsidiaries: ... Ch. Eitingon, AG. (Leipzig,Germany), ..., Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany),Kruskal A Kruskal, Inc. (New York), EitingtSchud Fur Corp. (New York) ...",True,False,True,False,False,False,False,False,"EITINGON-SCHILD CO., INC.","Ch. Eitingon, A.G. (Leipzig, Germany), Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany)","Incorporated in New York June 30, 1914. Subsidiaries engaged in purchase, sale, dressing, dyeing and treating of furs. Eitingon-Schild Fur Corp. (New York) and United Fur Exchange Inc. (St. Louis), Kruskal & Kruskal, Inc. was acquired Mar. 1, 1928 through exchange of stock on basis of one share of Eitingon-Schild stock for two shares of Kruskal & Kruskal. Branches in all principal countries of the world. Number of employees, Dec. 31, 1931, about 2,500. Annual Meeting: Fourth Friday in March. Office: 224-232 West 30th St., New York. Financial Notes: After inventory adjustments. Before $9,286,495 extraordinary charge. Goodwill of Kruskal & Kruskal, Inc. charged off $1,474,150; miscellaneous charge-offs and advances to subsidiary companies of $1,000,000; total $2,474,150. *13 months ended Dec. 31, 1931. Commitments at Dec. 31, 1931: Notes and acceptances discounted aggregating $78,073 against which a reserve of $300,000 has been provided above; guarantee for advances by bank of $1,500,000 to Eitingon Trading Corp. an affiliated company in connection with April 1924 contract under which profits from connection therewith have been met. Commitments at Dec. 31, 1931 for purchases of cotton aggregated $116,704 in excess of prices ruling at that date."
2342,"Germany), N. Eitingon A Co. (Textile Co.) (Lodz, Poland), ",right,EITINGON-SCHILD CO. INC.,"Eitingon Schild Co., Inc.","Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany)",,Description,"The following are subsidiaries: ... Ch. Eitingon, AG. (Leipzig,Germany), ..., Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany),Kruskal A Kruskal, Inc. (New York), EitingtSchud Fur Corp. (New York) ...",True,False,True,False,False,False,False,False,"EITINGON-SCHILD CO., INC.","Ch. Eitingon, A.G. (Leipzig, Germany), Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany)","Incorporated in New York June 30, 1914. Subsidiaries engaged in purchase, sale, dressing, dyeing and treating of furs. Eitingon-Schild Fur Corp. (New York) and United Fur Exchange Inc. (St. Louis), Kruskal & Kruskal, Inc. was acquired Mar. 1, 1928 through exchange of stock on basis of one share of Eitingon-Schild stock for two shares of Kruskal & Kruskal. Branches in all principal countries of the world. Number of employees, Dec. 31, 1931, about 2,500. Annual Meeting: Fourth Friday in March. Office: 224-232 West 30th St., New York. Financial Notes: After inventory adjustments. Before $9,286,495 extraordinary charge. Goodwill of Kruskal & Kruskal, Inc. charged off $1,474,150; miscellaneous charge-offs and advances to subsidiary companies of $1,000,000; total $2,474,150. *13 months ended Dec. 31, 1931. Commitments at Dec. 31, 1931: Notes and acceptances discounted aggregating $78,073 against which a reserve of $300,000 has been provided above; guarantee for advances by bank of $1,500,000 to Eitingon Trading Corp. an affiliated company in connection with April 1924 contract under which profits from connection therewith have been met. Commitments at Dec. 31, 1931 for purchases of cotton aggregated $116,704 in excess of prices ruling at that date."
2415,"Germany and Toronto, Can. In May., 1982 acquired plant, ",right,"SMITH (L. C.) & CORONA TYPEWRITERS, INC.",L. C. Smith & Corona Typewriters Inc.,"L. C. Smith & Corona Schreibmaschinen G m.b.H., Berlin, Germany",L. C. Smith & Corona Schreihmaschinen G.m.b.H.,Subsidiaries,,True,False,False,True,False,False,False,False,"SMITH (L. C.) & CORONA TYPEWRITERS, INC.","L. C. Smith & Corona Schreibmaschinen G.m.b.H., Berlin, Germany.","Incorporated under New York laws in 1924 as L. C. Smith & Bros. Typewriter, Inc., successor to L. C. Smith & Bros. Typewriter Co., incorporated in 1903. Present title adopted in 1926 when Corona Typewriter Co., Inc. (originally incorporated in 1909 as Standard Typewriter Co.) was merged. Manufactures typewriters; also makes adding machines through the Portable Adding Machine Co. and carbon paper through Miller-Bryant Pierce Co. Plants in Syracuse, Groton, Cortland, Geneva, N. Y. and Aurora, Ill. Branch offices located in principal cities of United States. Foreign business is handled from home office in New York and through company's subsidiaries in London, Eng., Berlin, Germany and Toronto, Can. In May, 1932 acquired plant, equipment and merchandise of Vivid Inc., Chicago. Number of employees, Dec. 31, 1931, 2,200."
2471,"Cmrp. with Fried. Krupp, A. G., Germany, whereby the sub- ",left,UNITED STATES STEEL CORPORATION,United States Steel Corporation,"Fried. Krupp, A. G., Germany",,,"Contracts for Krupp's Stainless Steel Patent Rights: On April 17, 1931 James A. Farrell, President, announced that an arrangement had been concluded by the United States Steel Corp. with Fried. Krupp, A. G., Germany, whereby the subsidiary companies of the steel corporation are licensed by Krupp under various patents of Strauss. Johnson, Armstrong, Fry, Kuehn and Smith for rust-resisting and heat-resisting and other alloy steels and for the heat treatment thereof. ",False,False,False,False,False,False,True,False,United States Steel Corporation,None mentioned as a direct subsidiary. Fried. Krupp A. G. of Germany is mentioned as a licensor to US Steel's subsidiaries.,"Plant Capacity (1930): The available rated annual capacity of subsidiary companies was: Blast furnaces (pig iron, ferro, etc.), 21,846,700 tons; steel ingots and castings, 27,841,800 tons; finished steel products for sale, 19,647,000 tons. Increase in the consolidated report is largely due to the inclusion of Michigan Limestone & Chemical Co. Shipments cover all above, including cement, marine equipment delivered, and other business not measured by the ton unit. This also includes shipments of Atlas Portland Cement Co. for the first time. Finished products produced for sale at the following average percentage of capacity (years ended Dec. 31): 1931, 73.9%; 1930, 83.4%; 1929, 93.3%; 1928, 88.0%; 1927, 85%. On April 17, 1931, an arrangement was concluded by the United States Steel Corporation with Fried. Krupp A. G., Germany, whereby the subsidiary companies of the steel corporation are licensed by Krupp under various patents for rust-resisting and heat-resisting alloy steels. This arrangement includes technical collaboration and applies to the products of Illinois Steel Co., Carnegie Steel Co., American Steel & Wire Co., American Sheet & Tin Plate Co., National Tube Co., and Loraine Steel Co. The major products manufactured by these companies include shapes, plates and bars, strip, wire products, rope, sheets, tubes, and castings."
2493,with Die IntereesengemeinjBchaft Farbenindustrie Aktiengesellaehaft to manufacture and market in Germany ana Central ,center,NATIONAL LEAD COMPANY,National Lead Company,Titangesellschaft M. B. H.,Titangesellschaft m.b.H.,Description,"In 1927 company exercised its option to purchase ths Titan Co. of Norway. Company also concluded an agreement with Die Interessengemeinschaft Farbenindustrie Aktiengesellschaft to manufacture and market in Germany and Central Europe titanium pigments from the Norwegian ores. I. G. Farbenindustrie A. G. and the company each own an interest in Titangesellschaft M. B. H. which has built a plant for the manufacture of titanium pimento at Leverkusen, near Cologne, Germany.",True,False,False,True,False,True,False,False,NATIONAL LEAD COMPANY,"Titangesellschaft M. B. H., Die Interessengemeinschaft Farbenindustrie Aktiengesellschaft","National Lead Company has an agreement with Die Interessengemeinschaft Farbenindustrie Aktiengesellschaft for manufacturing and marketing titanium pigments in Germany. National Lead Co. and I. G. Farbenindustrie A. G. jointly own an interest in Titangesellschaft M. B. H., which operates a titanium pigment plant in Leverkusen, Germany. Titangesellschaft M. B. H. also handles the manufacturing and distribution of titanium oxide pigments and patents formerly held by Titan Co. A/S of Norway."
2607,"AllBemeina ja e k tr id a te n  Wen Whart. Berlin, Germany (1 0 « ) ",left,"INTERNATIONAL GENERAL ELECTRIC COMPANY, INC. (Controlled by General Electric Co.)",International General Electric Company Inc.,"Allgemeine Elektricitäts Gesellschaft, Berlin, Germany (35%); Osram G.m.b.H. Kommanditgesellschaft",,Affiliated Companies,"Osram G.m.b.H. Kommanditgesellschaft. Berlin, Ger. (16 2/3%)",False,True,False,False,False,False,False,False,International General Electric Co.,"Allgemeine Elektricitäts Gesellschaft, Berlin (35%); Osram G.m.b.H. Kommanditgesellschaft, Berlin, Ger. (15%)","The firm holds manufacturing and selling rights under contracts covering mutual exchange of technical and manufacturing experience, and in most companies, it owns a minority interest. In 1930, International General Electric Co. acquired $10,000,000 par value of the debentures of United Aktiengesellschaft (Germany), which provides substantial participation in profits and cordial relations, but no voting rights. For 1931, International General Electric Co. did not issue a report, but the General Electric Co. reported International's 1931 profit as $2,963,222. The operations of International General Electric Co. are not consolidated with those of the parent company."
2607,"lulaka Akttanoosallaohaft (Germany), ont of a  total cd MMHOM",right,"INTERNATIONAL GENERAL ELECTRIC COMPANY, INC. (Controlled by General Electric Co.)",International General Electric Company Inc.,Siemens & Halske Aktiengesellschaft,,Affiliated Companies,"Notes: In 1930 International General Electric Co. acquired $10,000,000 par value of participating debentures of Siemens & Halske Aktiengesellschaft (Germany), out of a total of $14,400,000 par value sold in the United States. According to the company's annual report (1930), while these debentures give International General Electric Co. no vote in the affairs of Siemens and Halske A. G., it does give International General Electric a substantial participation in the profits, and the relations between the two companies are very cordial.",False,True,False,False,False,False,False,False,International General Electric Co.,"Allgemeine Elektricitäts Gesellschaft, Berlin (35%); Osram G.m.b.H. Kommanditgesellschaft, Berlin, Ger. (15%)","The firm holds manufacturing and selling rights under contracts covering mutual exchange of technical and manufacturing experience, and in most companies, it owns a minority interest. In 1930, International General Electric Co. acquired $10,000,000 par value of the debentures of United Aktiengesellschaft (Germany), which provides substantial participation in profits and cordial relations, but no voting rights. For 1931, International General Electric Co. did not issue a report, but the General Electric Co. reported International's 1931 profit as $2,963,222. The operations of International General Electric Co. are not consolidated with those of the parent company."
2682,"Paris, France: Paramount Film Vertreib G. m. b. H., Berlin, Germany, N. V. Paramount Filma, Amsterdam, Holland; ",center,PARAMOUNT PUBLIX CORPORATION,"Paramount Pictures, Inc.","Paramount Film Vertreib G. m. b. H., Berlin, Germany","Paramount Film Vertreib G. m. b. H., Berlin, Germany",Subsidiaries,,True,False,False,True,False,False,False,False,Paramount Publix Corporation,"Paramount Film Vertrieb G. m. b. H., Berlin, Germany","Incorporated July 19, 1916, as Famous Players-Lasky Corporation, name changed to Paramount Famous Lasky Corp. Apr. 1, 1927, and to Paramount Publix Corp. Apr. 24, 1930. The corporation operates as both an operating and holding company, with subsidiaries operating approximately 600 theatres in the United States, London, and Paris for multi-lingual pictures. It holds a 50% interest in William Morris Agency, Inc., and owns the entire capital stock of Paramount Broadway Corp. (an 81-story structure and theatre in Times Square, New York City). In 1930, Paramount acquired the Comerford circuit of 61 theatres and substantially all assets of G-B Theatres Corp. (15 theatres). Average number of employees is about 25,000. In March 1932, the corporation sold its half interest in Columbia Broadcasting System, Inc. Anti-trust litigation against the company and other distributors was closed on April 7, 1932, with a final decree enjoining illegal practices like block booking. In July 1930, the company entered an arrangement for patent rights interchange with certain German companies."
2713,Northampton (Eng.) and Frankfurt Germany.,right,RUEPING (FRED) LEATHER CO.,Pueping (Fred) Leather Co.,,,Description,"Branch offices at Boston, New York, Chicago, Milwaukee, St Louis, Cincinnati, San Francisco, Montreal, Northampton (Eng.) and Frankfurt Germany.",False,False,False,False,False,True,False,False,RUEPING (FRED) LEATHER CO.,"Frankfurt, Germany","Incorporated June 22, 1894, in Wisconsin, with business established in 1864. The company manufactures a complete line of upper leathers for shoes and certain glove leathers. Its plant is located at Fond du Lac, Wis., with a daily capacity of 10,000 calfskins. It maintains branch offices in various US cities, Montreal (Canada), Northampton (England), and Frankfurt (Germany). The firm has outstanding debenture gold 6s and two classes of capital stock: 8% cumulative preferred and common."
2744,"ing oil Helds In Northern Germany, par­",left,NORTH EUROPEAN OIL CORP.,North European Oil Corp., Oldenburgische Erdoel G.m.b.H.,Oldenburgische Erdol Gesellschaft m.b.H.,Description,"Formed under Delaware laws in Aug, 1929 as a reorganisation of the former Nord Oil Co, for the purpose of exploiting oil fields in Northern Germany, particularly in the district between the lower Weser and lower Elbe Rivers. Company Is reported to have taken options on areas totaling about 4,000 square miles. The purpose of the new company Is to apply American deepdrilling methods In an effort to uncover real reservoirs. While oil has been found in this territory, the output has been small and the borings comparatively Shallow. It is stated that control of more than 1000,000 acres of oil and natural gas lands In Northern Germany, owned by the North European Oil Corp., is under option to a large Independent American oil company. Most of the acreage is In a triangular area of which the cities of Hamburg, Bremen and Hanover represent the points. Controls the following German companies: Oldenburgische Erdoel G.m.b.H.; Explora G.m. b. H.; Wesfoel G.in.b.H.; and Osfoel G.m.b.H. In May, 1931 it was reported that about 600,000 acres were sold for $900,000.",True,False,False,True,False,False,False,False,NORTH EUROPEAN OIL CORP.,Oldenburgische Brodel G.m.b.H.; Explora G.m.b.H.; Werderol G.m.b.H. and Ostsee G.m.b.H.,"Formed under Delaware laws in Aug. 1938 as a reorganization of the former North Oil Co. for the purpose of exploiting oil fields in Northern Germany, particularly in the district between the Lower Weser and Lower Elbe Rivers. The company aims to apply American deep-drilling methods. While oil has been found, output has been small and borings shallow. It controls over 400,000 acres of oil and natural gas lands in Northern Germany, under option to a large independent American oil company. The acreage is in a triangular area defined by Hamburg, Bremen, and Hanover. In May 1931, about 600,000 acres were reportedly sold for $90,000."
2744,"ing oil Helds In Northern Germany, par­",left,NORTH EUROPEAN OIL CORP.,North European Oil Corp.,Explora G.m. b. H.,Explora G.m.b.H.,Description,"Formed under Delaware laws in Aug, 1929 as a reorganisation of the former Nord Oil Co, for the purpose of exploiting oil fields in Northern Germany, particularly in the district between the lower Weser and lower Elbe Rivers. Company Is reported to have taken options on areas totaling about 4,000 square miles. The purpose of the new company Is to apply American deepdrilling methods In an effort to uncover real reservoirs. While oil has been found in this territory, the output has been small and the borings comparatively Shallow. It is stated that control of more than 1000,000 acres of oil and natural gas lands In Northern Germany, owned by the North European Oil Corp., is under option to a large Independent American oil company. Most of the acreage is In a triangular area of which the cities of Hamburg, Bremen and Hanover represent the points. Controls the following German companies: Oldenburgische Erdoel G.m.b.H.; Explora G.m. b. H.; Wesfoel G.in.b.H.; and Osfoel G.m.b.H. In May, 1931 it was reported that about 600,000 acres were sold for $900,000.",True,False,False,True,False,False,False,False,NORTH EUROPEAN OIL CORP.,Oldenburgische Brodel G.m.b.H.; Explora G.m.b.H.; Werderol G.m.b.H. and Ostsee G.m.b.H.,"Formed under Delaware laws in Aug. 1938 as a reorganization of the former North Oil Co. for the purpose of exploiting oil fields in Northern Germany, particularly in the district between the Lower Weser and Lower Elbe Rivers. The company aims to apply American deep-drilling methods. While oil has been found, output has been small and borings shallow. It controls over 400,000 acres of oil and natural gas lands in Northern Germany, under option to a large independent American oil company. The acreage is in a triangular area defined by Hamburg, Bremen, and Hanover. In May 1931, about 600,000 acres were reportedly sold for $90,000."
