,Master US firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,in HB 32,in HB 34,Name of Foreign Business,moodys32 affiliated German firm name,moodys32 notes,moodys32 mentions a subsidiary,moodys32 mentions stock ownership,moodys32 subsidiary is AG,moodys32 mentions an affilated company,moodys32 mentions a plant/office/branch,moodys32 is a subsidiary of a German firm,moodys32 other types of agreement,moodys34 affiliated German firm name,moodys34 reviewed_notes,moodys34 mentions a subsidiary,moodys34 mentions stock ownership,moodys34 subsidiary is AG,moodys34 mentions an affilated company,moodys34 mentions a plant/office/branch,moodys34 is a subsidiary of a German firm,moodys34 other types of agreement,tenenbaum affiliated German firm name,tenenbaum notes,tenenbaum mentions a subsidiary,tenenbaum mentions stock ownership,tenenbaum subsidiary is AG,tenenbaum mentions an affilated company,tenenbaum mentions a plant/office/branch,tenenbaum is a subsidiary of a German firm,tenenbaum other types of agreement,HB 1932 affiliated German firm name,HB 1934 affiliated German firm name
109,International General Electric Company Inc.,True,True,True,True,True,True,['Osram G.m.b.H. Kommanditgesellschaft'],Siemens & Halske Aktiengesellschaft,"Notes: In 1930 International General Electric Co. acquired $10,000,000 par value of participating debentures of Siemens & Halske Aktiengesellschaft (Germany), out of a total of $14,400,000 par value sold in the United States. According to the company's annual report (1930), while these debentures give International General Electric Co. no vote in the affairs of Siemens and Halske A. G., it does give International General Electric a substantial participation in the profits, and the relations between the two companies are very cordial.",False,True,False,False,False,False,False,"Siemens & Halske, A.G.","""It was reported that General Electric Co. had taken the greater part of a $14,000,000 issue of participating debentures of Siemens & Halske, A.G., offered by Dillon Read & Co.""",False,True,False,False,False,False,False,Allgemeine Elektrizitäts Gesellschaft; Osram; Siemens & Halske; Julius Pintsch A. G.,"The main holding in Germany is about 25-30 %_of_the_Allge- meine Elektrizitäts Gesellschaft (capital 120,000,000 RM ) , the larg- est German electrical concern. It is believed however , that since the financial reorganization of the AEG during the depression the participating interest of General Electric has considerably increased. Through the German AEG, the General Electric has acquired indirect control over a very large number of German concerns in diversified fields of insdurty and communication. The International General Electric Company holds 20% of the stock of the great Dutch electrical firm, N. V. Philips, which has important holdings in Germany.; In 1930 the International General Electric Company bought a major share of a flotation of 35,000 nonvoting participating debentures of Siemens & Halske; International General Electric has patent exchange contracts with Siemens and Halske and with Julius Pintsch A. G.",True,True,True,False,False,False,True,"['Allgemeine Elektricitäts-Gesellschaft', 'Kohlenveredlung und Schwelwerke Aktiengesellschaft']",['Allgemeine Elektricitäts-Gesellschaft.']
110,International General Electric Company Inc.,True,True,True,True,True,True,['Osram G.m.b.H. Kommanditgesellschaft'],Siemens & Halske Aktiengesellschaft,"Notes: In 1930 International General Electric Co. acquired $10,000,000 par value of participating debentures of Siemens & Halske Aktiengesellschaft (Germany), out of a total of $14,400,000 par value sold in the United States. According to the company's annual report (1930), while these debentures give International General Electric Co. no vote in the affairs of Siemens and Halske A. G., it does give International General Electric a substantial participation in the profits, and the relations between the two companies are very cordial.",False,True,False,False,False,False,False,"Allgemeine Elektricitäts Gesellschaft, Berlin, Germany; Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany","Under section ""Affiliated Manufacturing Companies"": Allgemeine Elektricitäts Gesellschaft, Berlin, Germany; Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany",False,False,False,True,True,False,False,Allgemeine Elektrizitäts Gesellschaft; Osram; Siemens & Halske; Julius Pintsch A. G.,"The main holding in Germany is about 25-30 %_of_the_Allge- meine Elektrizitäts Gesellschaft (capital 120,000,000 RM ) , the larg- est German electrical concern. It is believed however , that since the financial reorganization of the AEG during the depression the participating interest of General Electric has considerably increased. Through the German AEG, the General Electric has acquired indirect control over a very large number of German concerns in diversified fields of insdurty and communication. The International General Electric Company holds 20% of the stock of the great Dutch electrical firm, N. V. Philips, which has important holdings in Germany.; In 1930 the International General Electric Company bought a major share of a flotation of 35,000 nonvoting participating debentures of Siemens & Halske; International General Electric has patent exchange contracts with Siemens and Halske and with Julius Pintsch A. G.",True,True,True,False,False,False,True,"['Allgemeine Elektricitäts-Gesellschaft', 'Kohlenveredlung und Schwelwerke Aktiengesellschaft']",['Allgemeine Elektricitäts-Gesellschaft.']
111,International Harvester Company,True,True,True,True,False,False,"['International Harvester Company, m.b.H.']",International Harvester Co. m. b. H. ,,True,False,False,False,False,False,False,International Harvester G. m. b. H. (Germany),"Under the section ""Subsidiaries""",True,False,False,False,False,False,False,International Harvester Co. GmbH,"The INTERNATIONAL HARVESTER Co. owns Germany the International Harvester Co. GmbH capital 13,500,000 RM with factories in Nauss",True,False,False,False,True,False,False,,
112,International Harvester Export Co.,True,False,False,False,False,False,"['International Harvester Company, m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,International Mercantile Marine Co.,False,False,True,False,False,False,,,,,,,,,,,NA,"Company possesses valuable terminal facilities at Liverpool, London, Southampton, Antwerp and Hamburg...",False,False,False,False,True,False,False,,,,,,,,,,,
114,International Mortgage & Investment Corporation c/o Alien Property Custodian,True,False,False,False,False,False,['International Mortgage & Investment Corporation'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"International Patent Corporation, Maryland",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Vereinigte Aluminiumwerke A. G.,The VEREINIGTE ALUMINIUMWERKE A.G. own 29.45% of the International Patent Corporation Maryland,False,False,False,False,False,True,False,,
116,International Securities Company,True,False,False,False,False,False,['Singer Nahmaschinen Aktiengesellschaft'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,International Standard Electric Corp.,True,False,False,True,False,False,"['Lorenz, C. A.G.', 'Standard Elektrizitats Ges., A.G.']",,,,,,,,,,,,,,,,,,,Dr. Erich Huth G.m.b.H.; Vereinigte Bayerische Telephonwerke A.G.; Standard Telephon & Radio A.G.; Belton AG.,"The International Standard Electric Corporation is owned 100 % by International Telephone and Telegraph . The International Standard Electric Corporation owns the following German concerns : Dr. Erich Huth G.m.b.H. , capital 1,460,000 RM (minority ) Vereinigte Baverische Telephonwerke A. G. (minority ) Standard Telephon & Radio A. G. ( 100 % ) , which owns 45.71 % of Belton A.G. The other 54.29 % of Belton A. G. is held by the Bell Telephone Manufacturing Co., which is owned 99.98 % by In- ternational Standard Electric Corporation .",True,True,False,False,False,False,False,,
118,International Telephone and Telegraph Corp.,True,False,False,True,True,True,"['Baruta Import and Export, GmbH', 'Baruta Import and Export, GmbH', 'Berliner Telephonie Aktiengesellschaft', 'Ferdinand Schuchhardt Berliner Fernsprech- und Telegraphenwerk Aktiengesellschaft', 'Gesellschaft Fur Telephon-und Telegraphenbeteilungen m.b.H.', 'Dr. Erich F. Huth G.m.b.H.', 'Lorenz, C. A.G.', 'Lorenz Radio Vertriebe G.m.b.H.', 'Ludwig Sudicates G.m.b.H.', 'Ludwig Sudicatis G.m.b.H.', 'Mix & Genest Aktiengesellschaft', 'Mix & Genest Hansawerke , G.m.b.H.', 'Rohr & Seilpost Anlagen, G.m.b.H.', 'Standard Elektrizitats Ges., A.G.', 'Suddeutsche Apparatefabrik Gesellschaft m.b.H.', 'Tefag Radio Vertriebs G.m.b.H.', 'Telephonfabrik Berliner A.G.', 'Telmo Telephon und Telegraphen Gesellschaft m.b.H.', 'Vereinigte Bayerische Telephonwerke Aktiengesellschaft', '""Volta"" Telephon & Signalbau G.m.b.H.']",,,,,,,,,,,,,,,,,,,Standard Elektrizitäts Gesellschaft; Mix & Genest; Berliner Telephonie; Mix & Genest Hansawerke G.m.b.H.; Rohr & Seilpostanlagen G.m.b.H.; Telmo Telephon & Telegraph G.m.b.H.; Volta Telephon & Signalbau G.m.b.H.; Emge-Union Oesterreichische Telephonwerke A.G.; Ferd. Schuchardt A.G.; Süddeutsche Apparate Fabrik G.m.b.H.; Telephonfabrik Berliner A.G. ; NV Nederlandse Telephonfabrik Berliner; Ludwig Sudicatis G.m.b.H. Baruta Import & Export G.m.b.H.; Ludwig Sudicatis G.m.b.H.; Vereinigte Telephon & Telegraph A.G. Czeija Nissl; C. Lorenz A.G.; Lorenz Radio Vertriebs G.m.b.H.; Tefag Radio Vertriebs G.m.b.H.; Gesellschaft für Telephon und Telegraphenbeteiligungen G.m.b.H.; Creed Telegraph Apparate G.m.b.H.,Through direct and indirect ownerships,True,True,True,False,False,False,False,"['C. Lorenz Aktiengesellschaft', 'Mix & Genest Aktiengesellschaft', 'Standard Elektrizitäts-Gesellschaft Aktiengesellschaft (S.E.G.)']","['Mix & Genest Aktiengesellschaft. ', 'C. Lorenz Aktiengesellschaft, Telephon- und Telegraphen-Werke, Eisenbahnsignal-Bauanstalt.']"
119,Intertype Corporation,True,True,True,False,False,False,"['Intertype Fabrik G.m.b.H.', 'Intertype Setzmaschinen G.m.b.H.']",Intertype Setzmaschinen G. m. b. H.; Intertype Fabric G. m. b. H.,"Also maintains selling branches in Chicago, San Francisco, Boston, Los Angeles, New Orleans, London, Eng., and Berlin, Germany. Owns entire capital stock of lntertype, Ltd. (London); Intertype Setzmaschinen G. m. b. H. and intertype Fabric G. m. b. H. (Germany)",True,False,False,False,False,False,False,Intertype Setzmachinen G.m.b.H.; Intertype Fabric G. m. b. H. (Germany),"In description: ""Owns entire capital stock of ...Intertype Setzmachinen G.m.b.H.; Intertype Fabric G. m. b. H. (Germany)""",True,False,False,False,False,False,False,,,,,,,,,,,
120,J. M. Bernard & Co. Inc.,True,False,False,False,False,False,['J. M. Bernard & Co. G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Jadev Corporation,True,False,False,False,False,False,"['Allgemeine Erdol Gesellschaft, m.b.H.', 'Gewerkschaft Brigitta', 'Mecklenburgische Erdol G.m.b.H.', 'Oldenburgische Erdol Gesellschaft m.b.H.', 'Oldenburgische Erdol Gesellschaft m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Johnson & Son. St. Louis,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Deutsche Johnson A. G.,"JOHNSON & SON , St. Louis , owns the Deutsche Johnson A. G. (500,000 RM) .",True,False,False,False,False,False,False,,
123,Jones (J. Edward) Royalty Trust,False,False,True,False,False,False,,,,,,,,,,,NA,"Branch offices in Boston, Tulsa, and Dresden, Germany",False,False,False,False,True,False,False,,,,,,,,,,,
124,Julius Kayser & Company,False,True,True,True,False,False,,"Kayser Textile-Gesellschaft, m. b. H. in Saxony","In Sept, 1922, the company formed the Kayser Textile-Gesellschaft, m. b. H. in Saxony, to handle the export business of the company in Germany.",True,False,False,False,False,False,False,"Kayser Textil-Gesellschaft, m. b. H. in Saxony","In section Subsidiaries: ""In Sept 1922, the company formed the Kayser Textil-Gesellschaft, m. b. H. in Saxony, to handles the export business of the company in Germany""",True,False,False,False,False,False,False,Kayser Textile G.m.b.H.,JULIUS KAYSER & Co. owns the Kayser Textile G.m.b.H.,False,False,False,False,False,False,False,,
125,Koenig Medicine Co.,True,False,False,False,False,False,['Koenig Medicine Company'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Kraft Cheese Company,True,False,False,True,False,False,"['Betz & Jay, GmbH', 'Jocca Werke G.m.b.H.', 'Kohler-Werke G.m.b.H.', 'Kraft Kaese Werke G.m.b.H.', 'Kraft Kaese Werke G.m.b.H.', 'Lindor Werke G.m.b.H.']",,,,,,,,,,,,,,,,,,,Betz & Jay G.m.b.H.; Kraft Käse Werke G.m.b.H.; Locca Käse Werke G.m.b.H.; Kohler-Werke G.m.b.H. ; Lindor- Werke G.m.b.H.,"The NATIONAL DAIRY PRODUCTS CORPORATION owns outright the Kraft-Phenix Cheese Corporation which has the following holdings in Germany (all 100 % owned ) : Through the Badger-Brodhead Cheese Co., the Betz & Jay G.m.b.H.; The Kraft Käse Werke G.m.b.H. , which in turn owns the Locca Käse Werke G.m.b.H. , the Kohler-Werke G.m.b.H. , and the Lindor- Werke G.m.b.H.",True,False,False,False,False,False,False,,
127,Kupfer Bros. Co. Inc.,True,False,False,False,False,False,"['Werola Krepp & Buntpapierfabrik G.m.b.H.', 'Wilheim Stern & Co. G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,L. C. Smith & Corona Typewriters Inc.,True,True,True,False,False,False,['L. C. Smith & Corona Schreihmaschinen G.m.b.H.'],"L. C. Smith & Corona Schreibmaschinen G m.b.H., Berlin, Germany",,True,False,False,False,False,False,False,"L. C. Smith & Corona Schreibmaschinen G.m.b.H., Berlin, Germany","In description: ""Foreign business is handles from home office in Syracuse, N. Y. and through company's subsidiaries in London, Eng., Berlin, Germany, and Toronto, Can. "" In ""Subsidiaries"": ... L. C. Smith & Corona Schreibmaschinen G.m.b.H., Berlin...",True,False,False,False,False,False,False,,,,,,,,,,,
129,Lehn & Pink Products Corporation,True,False,True,False,False,False,['A. S. Hinds A.G.'],,,,,,,,,,"Schuelke & Mayr, A. G.","Sales of products abroad is conducted through .... German subsidiary, Schuelke & Mayr, A. G., which handles continent of Europe, South America and Chinese business.",True,False,True,False,False,False,False,,,,,,,,,,,
130,"Lentheric, Incorporated",True,False,False,False,False,False,"['Parfume Lentheric, G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Libbey-Owens-Ford Glass Company,False,True,True,True,False,False,,"Deutsche Libbey-Owens Gesellschaft fuer Maschinelle Glasherstellung, Aktiengesellschaft, Gelsenkirchen, Germany.",,False,False,False,False,False,False,True,Deutsche Libbey-Owens Gesellschaft fuer Maschinelle Glasherstellung (Aktiengesellschaft),Deutsche Libbey-Owens Gesellschaft fuer Maschinelle Glasherstellung (Aktiengesellschaft) - Licensee,False,False,False,False,False,False,True,Deutsche Libbey -Owens Gesellschaft für machinelle Glasherstellung A. G.; Deutsche Tafelglas A. G.,"The LIBBEY-OWENS-FORD GLASS Co. owns the Cie. Internationale pour la fabrication mecanique du verre , Belgium . Together with this subsidiary , the Libbey -Owens -Ford Glass Co. owns the Deutsche Libbey -Owens Gesellschaft für machinelle Glasherstellung A. G., capital 11,500,000 RM . Charles Schmettau , Vice - President of Libbey- Owens-Ford, sits on the Board of Directors of Deutsche Libbey- Owens . Deutsche Libbey - Owens holds a minority interest in the Deutsche Tafelglas A. G. ( 6.000.000 RM ) , a consortium of leading German producers of glass .",True,True,True,False,False,False,False,,
132,"Libby, McNeill & Libby",True,False,False,False,False,False,"['Deutsche Libby Gesellschaft, m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Ligget & Myers Tobacco Co.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,British-American Tobacco (Deutschland) G.m.b.H. ,"The LIGGETT & MYERS TOBACCO Co., with the P. LORILLARD Co. and other U. S. cigarette companies , own a substantial interest in the British -American Tobacco Co. , Ltd. , which , through the Tobacco Securities Trust Co. Ltd. , owns the British - American Tobacco (Deutschland ) G.m.b.H. , capital 1,500,000 RM .",False,True,False,False,False,False,False,,
134,"Lingner Corporation, New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Lingner Werke A.G.,The German firm owns a Chicago factory and 95% of the American firm for the exploitation of patents held by parent concern in the US,False,False,False,False,False,True,False,,
135,Loew's Incorporated,True,False,False,False,True,False,['Metro-Goldwyn Mayer Film A.G.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Metro-Goldwyn-Mayer Film Aktiengesellschaft'],
136,Lohn & Fink Products Corporation,True,False,False,False,False,False,['Schulke & Mayr A.G.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Lykes Bros. Steamship Co., Inc.",True,False,False,False,False,False,"['Deutsche American Shipping Co. (Bremen) G.m.b.H.', 'Deutsche American Shipping Co. (Bremen) G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Magdalena Syndicate,True,True,False,False,True,False,['Edoel-Bergbau Aktiengesellschaft Celle Norddeutsche Mineraloel Aktiengesellschaft'],Nord Deutsche Mineraloel A. G.,"In April, 1931 acquired oil properties in Germany Including 388,000 acres of land in North Germany. Two refineries now under lease and in operation are included. The purchase was effected through the issuance of 2,408,000 additional shares of common stock of the syndicate. Owns 95% of the Nordoel Co. (Nord Deutsche Mineraloel A. G.), acquired in April 1931.",True,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,['Norddeutsche Mineralöl-Aktiengesellschaft'],
139,Markt & Co. Inc.,True,False,False,False,False,False,['Markt & Co.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Markt & Hammacher Co.,True,False,True,False,False,False,['Markt & Co.'],,,,,,,,,,NA,Branch in Hamburg,False,False,False,False,True,False,False,,,,,,,,,,,
141,"Mccann-Erickson, Inc.",True,False,False,False,False,False,"['Gesellschaft fur markt und schgerechte Werberatung', 'H. K. Mccann Company, m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Mergenthaler Linotype Company,True,True,True,True,False,False,"['Linotype, G.m.b.H.', 'Mergenthaler Setzmaschinen-Fabrik, G.m.b.H.', 'Schriftgiesserei und Messinglinienfabrik D. Stempel Akt.']",Margenthaler Setzmaschinen Fabrik G.m.b.H. of Germany,"In 1909 acquired a controlling interest in Linotype & Machinery, Ltd., and in the Margenthaler Setzmaschinen Fabrik G.m.b.H. of Germany. Linotype & Machinery. Ltd., has a plant at Broadheath, near Manchester, England, where it manufactures printing machinery, linotypes and parts.",True,False,False,False,False,False,False,Mergenthaler Setzmaschinen-Fabrik G.m.b.H.,"""In 1909 acquired a controlling interest in ....the Mergenthaler Setzmaschinen-Fabrik G.m.b.H. of Germany.""",True,False,False,False,False,False,False,Mergenthaler Setzmaschinenfabrik G.m.b.H.,The MERGENTHALER LINOTYPE Co. owns a controlling share in the Mergenthaler Setzmaschinenfabrik G.m.b.H.,True,False,False,False,False,False,False,,
143,Metal and Thermit Corp.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Siemens & Halske,"SIEMENS & HALSKE own 100 % Siemens Inc. , New York . With Vickers , Siemens & Halske own the Metal and Thermit Corp. , which has a world monopoly on beryllium .",False,False,False,False,False,True,False,,
144,Metallic Products Corp. c/o US Corp. Co.,True,False,False,False,False,False,['Metallpulver G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Metals Coating Company of America,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Metallisator Akt.-Ges.', 'Metallisator Berlin Akt.-Ges.']",['Metallisator Berlin Aktiengesellschaft.']
146,Metro-Goldwyn-Mayer Pictures Corporation,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Metro-Goldwyn-Mayer Film A.G.,"The METRO-GOLDWYN MAYER PICTURES CORPORATION owns a majority of the stock of the Metro -Goldwyn -Mayer Film A.G. , capital 500,000 RM .",True,False,True,False,False,False,False,,
147,Moto Meter Gauge & Equipment Corp.,False,True,True,False,False,False,,"Moto Meter Gesellschaft, m. b. H., Germany. ","""Also owns 51% of the capital stock of Moto Meter Gesellschaft, m. b. H., Germany. """,True,False,False,False,False,False,False,Moto Meter Gesellschaft m. b. H.,"Moto Meter Gauge & Equipment Corp. owns 51% of the capital stock of Moto Meter Gesellschaft m. b. H., Germany.",True,False,False,False,False,False,False,,,,,,,,,,,
148,National Lead Company,True,True,True,True,False,False,['Zinnwerke Wilheimsburg G.m.b.H.'],Titangesellschaft M. B. H.,"In 1927 company exercised its option to purchase ths Titan Co. of Norway. Company also concluded an agreement with Die Interessengemeinschaft Farbenindustrie Aktiengesellschaft to manufacture and market in Germany and Central Europe titanium pigments from the Norwegian ores. I. G. Farbenindustrie A. G. and the company each own an interest in Titangesellschaft M. B. H. which has built a plant for the manufacture of titanium pimento at Leverkusen, near Cologne, Germany.",True,False,False,False,True,False,False,Titangesellschaft M. B. H.; I. G. Farbenindustrie,"""Company also concluded an agreement with Die Interessengemeinschaft Farbenindustrie Aktiengesellshcaft to manufacture and market in Germany and Central Europe titanium pigments from the Norwegian ores. I. G. Farbenindustrie A. G. and the company each own an interest in Titangesellschaft M. B. H. which has built a plant for the manufacture of titanium pigments at Leverkusen, near Cologne, Germany.""",True,False,False,False,False,False,True,Titan G.m.b.H.,"The NATIONAL LEAD CO. owns 87 % of the Titan Co., Inc. which owns 50 % of Titan G.m.b.H. ( capital 3,000,000 RM ) , engaged in the production in Germany of white lead paints. The other half of Titan G.m.b.H. is owned by I. G. Farbenindustrie .",True,False,False,False,False,False,False,,
149,"New England Industries, Inc.",True,False,False,False,False,False,"['Erkensator G.m.b.H.', 'Fullnerwerk G.m.b.H.', 'Maschinen-Export G.m.b.H.', 'Maschinenfabrik Banning & Seybold A.G.', 'Maschinenfabriken Wagner-Doerries Aktiengesellschaft (formerly: Maschinenfabrik Aktiengesellschaft vorm. Wagner & Co. )']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"New Jersey Industries, Inc.",True,False,False,False,False,False,"['Aktiengesellschaft fuer Anlagewerte', 'Aktiengesellschaft fuer Anlagewerte', 'Bekleidungs-Aktiengesellschaft', 'Defaka, Deustche Familienkaufhaus G.m.b.H.', 'Industrie-Export Aktiengesellschaft', 'Injecta Aktiengesellschaft zur Fabrikation Chiurgischer Instruments', 'Injecta Aktiengesellschaft zur Fabrikation Chiurgischer Instruments', 'Emil Koster Aktiengesellschaft', 'Mundlos Akteingesellschaft, Magdeburg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,New York Shipbuilding Corporation,False,True,True,False,False,False,,Maschinenfabrik Augsburg Nurnberg A. G. of Germany,"In March, 1927, company completed license agreement with Maschinenfabrik Augsburg Nurnberg A. C. of Germany for latter company’s Diesel engine development for railway traction purposes. New York Shipbuilding Co. is a wholly owned subsidiary.",False,False,False,False,False,False,True,Maschinenfabrik Augsburg Nurnberg A. C. of Germany,"""In March 1927, company completed license agreement with Maschinenfabrik Augsburg Nurnberg A. C. of Germany of latter company's Diesel engine development for railway traction purposes.""",False,False,False,False,False,False,True,,,,,,,,,,,
152,"North American Rayon Corporation, Tenessee",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Vereinigte Glanzstoff A.G.,"The AKU—Algemeene Kunstzijde Unie N. V., Arnhem, Holland owns  almost 100 % of the Vereinigte Glanzstoff A.G.; Vereinigte; Glanzstoff owns a majority of the stock of the North American Rayon Corporation , Tennessee , capital $3,500,000 , to which company it has granted exclusive rights to certain artificial silk patents and processes .",False,False,False,False,False,True,False,,
153,North European Oil Corp.,True,True,True,False,False,False,['Nord-Europaeische Oel'], Oldenburgische Erdoel G.m.b.H.; Explora G.m. b. H.; Wesfoel G.in.b.H.; Osfoel G.m.b.H.,"Formed under Delaware laws in Aug, 1929 as a reorganisation of the former Nord Oil Co, for the purpose of exploiting oil fields in Northern Germany, particularly in the district between the lower Weser and lower Elbe Rivers. Company Is reported to have taken options on areas totaling about 4,000 square miles. The purpose of the new company Is to apply American deepdrilling methods In an effort to uncover real reservoirs. While oil has been found in this territory, the output has been small and the borings comparatively Shallow. It is stated that control of more than 1000,000 acres of oil and natural gas lands In Northern Germany, owned by the North European Oil Corp., is under option to a large Independent American oil company. Most of the acreage is In a triangular area of which the cities of Hamburg, Bremen and Hanover represent the points. Controls the following German companies: Oldenburgische Erdoel G.m.b.H.; Explora G.m. b. H.; Wesfoel G.in.b.H.; and Osfoel G.m.b.H. In May, 1931 it was reported that about 600,000 acres were sold for $900,000.",True,False,False,False,False,False,False,"West-Oel G.m.b.H.; Erdoelwerke Wathlingen, Wuerttembergische Mineralgesellschaft m.b.H.; Nordeuropaeische Oelgesellschaft m.b.H.; Gewerkschaft Regina zu Caan; Oldenburgische Oelausbeutungesellschaft m.b.H., Preussische Gewerkschaft Scharrenberg, Harburger Bergbau G.m.b.H.","In description: Owns entire capital stock of following companies: West-Oel G.m.b.H.; Erdoelwerke Wathlingen, Wuerttembergische Mineralgesellschaft m.b.H.; Nordeuropaeische Oelgesellschaft m.b.H.; Gewerkschaft Regina zu Caan; Oldenburgische Oelausbeutungesellschaft m.b.H., Preussische Gewerkschaft Scharrenberg, Harburger Bergbau G.m.b.H. Company in engaged in the exploitation of oil fields in Germany and at Mar. 10, 1934 owned or controlled (through above subsidiaries) oil and gas rights covering 705,700 acres In Germany as follows. Oldenburg, 650,000; Hanover, 80,700; Oetfrlesland, 25,000. In May, 1931, sold to interests identified with Royal Dutch Shell, 600,000 acres for $900,000.",True,False,False,False,False,False,False,,,,,,,,,,,
154,Northeastern Insurance Company of Hartford,True,False,False,False,False,False,['Northeastern Insurance Co. of Hartford'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Norton Company,True,True,True,True,False,False,"['Deutsche Norton-Gesellschaft, m.b.H.']","Deutsche Norton Gesellschaft m.b.H., Wesseling, Germany","""Subsidiaries: Company holds stock control of the following companies: ... Deutsche Norton Gesellschaft m.b.H., Wesseling, Germany...""",True,False,False,False,False,False,False,"Deutsche Norton Gesellschaft m.b.H., Wesseling, Germany","under section ""Subsidiaries"": Company holds stock control of the following companies: ... Deustche Gesellschaft m.b.H., ...",True,False,False,False,False,False,False,Deutsche Norton G.m.b.H.,"The NORTON COMPANY (abrasives ) owns the Deutsche Norton G.m.b.H. , capital 1,000,000 RM .",True,False,False,False,False,False,False,,
156,Oliver United Filters Inc.,False,True,False,False,False,False,,"Dorr-Oliver G.m.b.H., Berlin, Germany","Operated factories at Oakland, Cal. and Hazleton, Pa.; products were also manufactured through agencies in Canada, Germany, England, Belgium, France, and Holland... The operating subsidiaries of Dorr-Oliver Corp. are ... Dorr-Oliver G.m.b.H., Berlin, Germany",True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
157,Oppenheimer Casing Co. Del.,True,False,False,False,False,False,['Oppenheimer Casing Co. m.b.H. Hamburg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"Ore & Chemical Corporation, New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Metallgesellschaft A.G.,"The METALLGESELLSCHAFT A. G. owns the following American companies: Ore Chemical Corporation New York capital 200,000 engaged trade ores and metals and acting holding company; Pembroke Chemical Co. Florida phosphorus and phosphates producing concern; Revertex Corporation America New York capital 100,000 established for the sale of latex concentrates in North America",False,False,False,False,False,True,False,,
159,Otis Elevator Company,True,False,True,True,False,False,['Otis Aufzugswerke G.m.b.H.'],,,,,,,,,,Otis Aufzugswerke G.m.b.H.,"In section Subsidiaries and Affliated Companies: ""Otis Aufzugswerke G.m.b.H.... Germany"" Captial 3,951,266 Gold M. 100% owned",True,False,False,False,False,False,False,Otis Aufzugswerke G.m.b.H.,"The OTIS ELEVATOR COMPANY owns the German Otis Aufzugs- werke G.m.b.H. capital 4,000,000 RM",True,False,False,False,False,False,False,,
160,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),False,True,True,True,False,False,,Ebano Asphalt Werke A. G.; Ebano Asphalt Gesellschaft m. b. H.; Emas A.G. fuer Strassenbaubedarf; Euphalt Gesellschaft m.b.H.; Taerbaustoff Gesellschaft m.b.H.,,True,False,True,False,False,False,False,Ebano Asphalt Werke A. G.; Ebano Asphalt Gesellschaft m.b.H.; Emas A.G. fuer Strassenbaubedarf; Euphalt Gesellschaft m.b.H.; Taurbaustoff Gesellschaft m.b.H.,"Under section ""Subsidiaries""",True,False,True,False,False,False,False, Ebano Asphaltwerke A. G.,"The STANDARD OIL CO . OF INDIANA owns the Pan-American Foreign Corporation , which owns the Ebano Asphaltwerke A. G., capital 9,000,000 R.M.",True,False,True,False,False,False,False,,
