German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Vol,Description
,Chemical Research Corp.,Others,Others,CHEMICAL RESEARCH CORP.,,"Vol 1, p. 1887","Incorporated in Delaware in January 1938. 80% of its shares are owned by Pure Oil Co. and 10% by Alco Products Inc. The firm owns the gyro process for cracking crude petroleum, which is patented in various countries including Germany. It has agreements with Pure Oil Co. for pooling low-pressure vapor phase patents and with American Locomotive Co. (through its subsidiary Gyro Process Co.) for management of development, engineering, and sales of Gyro Products Co. American Locomotive Co. also has an option to purchase shares. According to the 1931 annual report, Gyro Process Co. cleared its obligations and declared its first dividend in December 1931."
,Consolidated Oil Corporation,Others,Others,Consolidated Oil Corporation,,"Vol 1, p. 1930","Incorporated in New York on Sept. 23, 1919, as Sinclair Consolidated Oil and Refining Company, the firm changed its name to Consolidated Oil Corp. in March 1933. Key acquisitions include the assets and business of Pierce Petroleum Corp. (May 1930), Rio Grande Oil Co. (Del.) (Sept 1930), and approximately 80% of the capital stock of Penn Mex Fuel Co. (Oct 1932). Through its subsidiary, Sinclair Refining Co., it acquired a 3% interest in Great Lakes Pipe Line Co. and the assets and business of Long Oil Co. (Kansas) in July 1933. In May 1934, the sale of Producers & Refiners Corp. and its 100% owned subsidiaries to Consolidated Oil Corp. was confirmed. The company operates 8 water terminals, a fleet of ocean tankers, owns approximately 6,700 tank cars, and has over 40,000 pumps installed at its total retail outlets. Distribution outlets are present in various foreign countries, including Germany."
,E.I. du Pont de Nemours and Company,USO,Others,E. I. DU PONT DE NEMOURS & COMPANY,,"Vol 1, p. 1939","E. I. du Pont de Nemours & Company was incorporated in Delaware in 1915. It acquired the properties of E. I. du Pont de Nemours Powder Company in 1915 and Explosives Co. in 1924. The firm manufactures explosives, cellulose products, pyroxylin finishes (Duco), dyestuffs, ethyl alcohol, and cellophane. Key acquisitions include Excelsior Powder Manufacturing Co. (1922), stockholdings in Grasselli Chemical Co. of Ohio (1928), minority interests in Du Pont Rayon Co., Du Pont Cellophane Co., Inc., and Du Pont Ammonia Corp., and all properties of Krebs Pigment & Chemical Co. The company also increased its interest in Canadian Industries, Ltd. In 1930, it acquired the business of Roessler & Hasslacher Chemical Co. (N. Y.), organizing it as ""The R. & H. Chemicals Department."" In 1931, it acquired dyestuffs and organic chemical properties and business of The Newport Co., which became a subsidiary of Du Pont Organic Chemicals Dept. As of December 31, 1933, the company had 36,000 employees (including wholly-owned subsidiaries) and held a controlling interest (56%) in Remington Arms Co., Inc. Du Pont also had significant investments in General Motors Corp., holding 12,202,121 shares of common stock (28.05%) directly and additional shares indirectly through Managers Securities Co. as of December 31, 1933."
,The Lambert Company,Others,Others,The Lambert Company,,"Vol 1, p. 1963","The Lambert Company was incorporated in Delaware on Mar. 15, 1926, to acquire a controlling interest in Lambert Pharmacal Company and the entire capital stock of Lambert & Feasley, Inc., an advertising agency. On Feb. 19, 1930, it acquired the entire capital stock of Pro-phy-lac-tic Brush Co., Del. Lambert Pharmacal Company, controlled by The Lambert Company, was incorporated in Delaware on Jan. 21, 1927, to acquire all shares of Lambert Pharmacal Co., incorporated in Missouri on Nov. 12, 1884, and established in 1879. It manufactures and sells pharmaceutical products including liquid antiseptic, tooth paste, shaving cream, rub and throat tablets, marketed under the name 'Listerine.' Assets and liabilities of foreign branches and agencies are reflected at net book value thereof, adjusted for depreciation, doubtful accounts, and exchange rates prevailing Dec. 31, and certified by Ernst & Ernst."
"Mergenthaler Setzmaschinen-Fabrik, G.m.b.H.",Mergenthaler Linotype Company,USO,GmbH,MERGENTHALER LINOTYPE COMPANY,Mergenthaler Setzmaschinen-Fabrik G.m.b.H.,"Vol 1, p. 2019","Mergenthaler Linotype Company was incorporated under New York laws on December 18, 1895, as successor to the Mergenthaler Linotype Co. of N. J. In 1909, it acquired a controlling interest in G.m.b.H. of Germany, among other entities. The company manufactures and sells linotypes and other printers' appliances, with approximately 41,000 in use in America and over 17,000 elsewhere. It maintains selling branches in major US cities and has a significant plant in Brooklyn, NY."
Deutsche Libbey-Owens Gesellschaft für machinelle Glasherstellung A.G.,Libbey-Owens-Ford Glass Company,USC,AG,Libbey-Owens-Ford Glass Company,Deutsche Libbey-Owens Gesellschaft fuer Maschinelle Glasherstellung (Aktiengesellschaft),"Vol 1, p. 2237","The firm operates gas properties in Kanawha District, W. Va., ensuring supply. It acquired Fairfield Sheet Glass Co. in 1928, Edward Ford Plate Glass Co. in 1930, and Ottawa Ill. plants of National Plate Glass Co. in 1932. The company also purchased patents from Triplex Safety Glass Co. of North America and entered a cross-license agreement with Pittsburgh Plate Glass Co. It was a decisive factor in the formation of the Belgian Glass Trust (Union des Verreries Mecaniques Belges), with Libbey-Owens' Belgian factory at Moll responsible for 30% of total Belgian glass output. Annual production is estimated at Libbey-Owens 60,000, Lodalinssart 68,000, and others 32,000. The firm received $50,948 in dividends from foreign companies in 1933 and $111,889 in 1932."
,The May Department Store Co.,Others,Others,THE MAY DEPARTMENT STORES COMPANY,,"Vol 1, p. 2240","Incorporated under the laws of New York, June 4, 1910. The company operates department stores and has acquired several businesses over time, including Shoenberg Mercantile Co. of St. Louis, The Famous, May Shoe & Clothing Co. of Denver, May Co. Cleveland, William Barr Dry Goods Co. of St. Louis, and Hamberger & Sons Department Store. It controls The M. O'Neil Co. of Akron, Soostman Investment Co., Morton Real Estate Investment Co., Anita Creamery Co., and Tollet Co. and Koch Chemical Co. Stores are owned and operated in Akron, Cleveland, Denver, Los Angeles, and St. Louis. The company also has offices in various international cities including New York, Paris, Lyons, Calais, Brussels, London, Belfast, Berlin, Vienna, Florence, Cham-pion, Naples, Rome, Athens, Cairo, Bombay, Calcutta, and Shanghai. As of May 1, 1934, the company employed about 14,000 people in its stores. It also owns May Building Co. (Ohio) and May Building Co. of Mo., both of which are fully owned subsidiaries."
Allgemeine Transportmittel Aktiengesellschaft,General American Transportation Corporation,USO,AG,General American Transportation Corporation,Allgemeine Transportmittel Aktiengesellschaft,"Vol 1, p. 2297","Reserve for all taxes included in cost of sales and expense. Before following adjustments: Credit; sundry adjustments, $118; Debits: Adjustment of cost of treasury stock to $5 per share stated value, after credit of proceeds from stock sold, $8,072,742; adjustment of cost of treasury stock acquired during 1922 to $5 per share stated value, $7,645,248. Before debiting $188. The 7% preferred formerly outstanding was retired Jan. 1, 1930, at 110. Amounts from 1930 to 1933, inclusive, certified by Ernst & Ernst, subject to comments."
,Gulf Oil Corporation,Others,Others,Gulf Oil Corporation of Pennsylvania,,"Vol 1, p. 2301","Incorporated in Pennsylvania on August 9, 1922, as successor to the Gulf Oil Corporation (incorporated in New Jersey on February 18, 1907). The firm holds all capital stock (except directors' qualifying shares) of numerous subsidiaries, including Gulf Oil Co. and Gulf Research & Development Co. It operates oil fields and pipelines across various regions including the US (Kansas, Arkansas, Texas, Oklahoma, New Mexico, Louisiana, California), Mexico, and Venezuela. Refineries are located in Port Arthur, Fort Worth, Sweetwater (Texas), Staten Island (New York), Philadelphia, Pittsburgh (Pennsylvania), Toledo, and Cincinnati (Ohio). The company maintains distributing stations in 28 states and the District of Columbia. As of January 1, 1934, it operated 5,152 wells producing approximately 164,571 barrels (net plus royalty) per day and over 7,000 miles of pipelines with a capacity of 200,000 barrels per day. Its fleet includes 37 ocean-going steamers, 6 barges, 4 tugs, and 6 motor ships. Crude oil production (including royalty oil) was 60,068,286 barrels in 1933, with net production (excluding royalty oil) at 50,770,884 barrels for the same year. The main office is located at Gulf Building, Pittsburgh, Pennsylvania."
Damm & Ladwig Kommandit Gesellschaft und Dulv Aktiengesellschaft,The Yale & Towne Manufacturing Company,USO,AG,THE YALE & TOWNE MANUFACTURING COMPANY,"Damm & Ladwig Company of Velbert, Germany","Vol 1, p. 2338","Financial and Operating Ratios: See blue paper insert in center of Manual. Less reserve for depreciation: 1933, 19,100 shares; 1932, 13,100 shares; 1931, 6,198,610. Yale & Towne Mfg. Co. various divisions and German subsidiaries. Current assets and current liabilities in foreign countries converted into U. S. dollars at rates of exchange prevailing Dec. 31, 1932. The aggregate equities in subsidiaries not consolidated exceeded by a moderate amount the investments in and advances to such subsidiaries, and the operating results of these subsidiaries for the year were substantially reflected in the company's accounts. At lower of cost or market. Purchased for resale to employees: 1933, 13,100 shares; 1932, 5,500 shares. After deducting $657,300 to reduce that portion of plant and equipment in excess of normal requirements to estimated conservative values. Note: Assets are shown net after providing adequate reserves against possible losses, depreciation and obsolescence of $7,631,593 as of Dec. 31, 1933 and $8,684,095 as of Dec. 31, 1931. CERTIFICATION OF ACCOUNTS: Accounts certified by Barrow, Wade, Guthrie & Co. Working Capital: 1933, current assets, $5,896,896; current liabilities, $989,751; net current assets, $4,907,145. 1932, current assets, $5,486,199; current liabilities, $787,866; net current assets, $4,698,333. 1931, current assets, $5,898,789; current liabilities, $591,104; net current assets, $5,307,685."
Vereinigte Riegel- und Schlossfabriken Act.-Ges.,The Yale & Towne Manufacturing Company,USO,AG,THE YALE & TOWNE MANUFACTURING COMPANY,"Aktiengesellschaft Vereinigte Riegel und Schloss Fabriken, Velbert","Vol 1, p. 2338","Financial and Operating Ratios: See blue paper insert in center of Manual. Less reserve for depreciation: 1933, 19,100 shares; 1932, 13,100 shares; 1931, 6,198,610. Yale & Towne Mfg. Co. various divisions and German subsidiaries. Current assets and current liabilities in foreign countries converted into U. S. dollars at rates of exchange prevailing Dec. 31, 1932. The aggregate equities in subsidiaries not consolidated exceeded by a moderate amount the investments in and advances to such subsidiaries, and the operating results of these subsidiaries for the year were substantially reflected in the company's accounts. At lower of cost or market. Purchased for resale to employees: 1933, 13,100 shares; 1932, 5,500 shares. After deducting $657,300 to reduce that portion of plant and equipment in excess of normal requirements to estimated conservative values. Note: Assets are shown net after providing adequate reserves against possible losses, depreciation and obsolescence of $7,631,593 as of Dec. 31, 1933 and $8,684,095 as of Dec. 31, 1931. CERTIFICATION OF ACCOUNTS: Accounts certified by Barrow, Wade, Guthrie & Co. Working Capital: 1933, current assets, $5,896,896; current liabilities, $989,751; net current assets, $4,907,145. 1932, current assets, $5,486,199; current liabilities, $787,866; net current assets, $4,698,333. 1931, current assets, $5,898,789; current liabilities, $591,104; net current assets, $5,307,685."
Brankaer Eisenwerke,The Yale & Towne Manufacturing Company,USO,AG,THE YALE & TOWNE MANUFACTURING COMPANY,"Brankaer Eisenwerke Aktiegesellschaft, Troppau (Czechoslovakia)","Vol 1, p. 2338","Financial and Operating Ratios: See blue paper insert in center of Manual. Less reserve for depreciation: 1933, 19,100 shares; 1932, 13,100 shares; 1931, 6,198,610. Yale & Towne Mfg. Co. various divisions and German subsidiaries. Current assets and current liabilities in foreign countries converted into U. S. dollars at rates of exchange prevailing Dec. 31, 1932. The aggregate equities in subsidiaries not consolidated exceeded by a moderate amount the investments in and advances to such subsidiaries, and the operating results of these subsidiaries for the year were substantially reflected in the company's accounts. At lower of cost or market. Purchased for resale to employees: 1933, 13,100 shares; 1932, 5,500 shares. After deducting $657,300 to reduce that portion of plant and equipment in excess of normal requirements to estimated conservative values. Note: Assets are shown net after providing adequate reserves against possible losses, depreciation and obsolescence of $7,631,593 as of Dec. 31, 1933 and $8,684,095 as of Dec. 31, 1931. CERTIFICATION OF ACCOUNTS: Accounts certified by Barrow, Wade, Guthrie & Co. Working Capital: 1933, current assets, $5,896,896; current liabilities, $989,751; net current assets, $4,907,145. 1932, current assets, $5,486,199; current liabilities, $787,866; net current assets, $4,698,333. 1931, current assets, $5,898,789; current liabilities, $591,104; net current assets, $5,307,685."
B.K.S. Handelsgesellschaft m.b.H.,The Yale & Towne Manufacturing Company,USO,GmbH,THE YALE & TOWNE MANUFACTURING COMPANY,"Boge & Kastern, G.m.b.H. of Solingen, Germany","Vol 1, p. 2338","Financial and Operating Ratios: See blue paper insert in center of Manual. Less reserve for depreciation: 1933, 19,100 shares; 1932, 13,100 shares; 1931, 6,198,610. Yale & Towne Mfg. Co. various divisions and German subsidiaries. Current assets and current liabilities in foreign countries converted into U. S. dollars at rates of exchange prevailing Dec. 31, 1932. The aggregate equities in subsidiaries not consolidated exceeded by a moderate amount the investments in and advances to such subsidiaries, and the operating results of these subsidiaries for the year were substantially reflected in the company's accounts. At lower of cost or market. Purchased for resale to employees: 1933, 13,100 shares; 1932, 5,500 shares. After deducting $657,300 to reduce that portion of plant and equipment in excess of normal requirements to estimated conservative values. Note: Assets are shown net after providing adequate reserves against possible losses, depreciation and obsolescence of $7,631,593 as of Dec. 31, 1933 and $8,684,095 as of Dec. 31, 1931. CERTIFICATION OF ACCOUNTS: Accounts certified by Barrow, Wade, Guthrie & Co. Working Capital: 1933, current assets, $5,896,896; current liabilities, $989,751; net current assets, $4,907,145. 1932, current assets, $5,486,199; current liabilities, $787,866; net current assets, $4,698,333. 1931, current assets, $5,898,789; current liabilities, $591,104; net current assets, $5,307,685."
Deutsche Worthington Gesellschaft m.b.H.,Worthington Pump and Machinery Corp.,USO,GmbH,WORTHINGTON PUMP AND MACHINERY CORPORATION,"Deustche Worthington Gesellschaft, m.b.H., germany","Vol 1, p. 2350","Incorporated under the laws of Virginia, April 20, 1916, as successor, through reorganization, of the International Steam Pump Co., which was placed in the hands of receivers in August, 1914. Company owns in fee the following works: Elmwood Place, Ohio, 17 acres; Holyoke, Mass., 7¾ acres; Buffalo, N. Y., 22 acres, and Harrison, N. J., 34 acres. Floor space of plants (square feet): Elmwood Place, O., 305,365; Holyoke, Mass., 302,617; Buffalo, N. Y., 339,090; Harrison, N. J., 964,489; total, 1,911,561 square feet. Blake & Knowles Works located at Cambridge, Mass., were transferred in 1927, to other plants of the corporation. Products include pump steam condensers; water meters; stationary and marine Diesel engines; locomotive, gas engines, rock drills, etc. In 1930, acquired certain assets of Gilman Manufacturing Co., East Boston, Mass., manufacturers of rock drills and in 1931 certain assets of Metalweld Co. of Philadelphia, manufacturer of portable air compressors. Operations of both companies were transferred to the Harrison (N. J.) Works. Consolidation into 3 plants was completed during 1933. Unfilled Orders, as of Dec. 31: 1922, $5,881,421; 1923, $5,611,237; 1924, $3,169,133; 1925, $3,436,737; 1926, $3,020,881; 1927, $4,118,049; 1928, $4,327,951; 1929, $4,140,148; 1930, $4,529,060; later years not reported. The meter operations are conducted by an affiliate, The Worthington-Gamon Meter Co."
Eisenbahn Verkehrsmittel A.-G.,The Silica Gel Corporation,USC,AG,The Silica Gel Corporation,Eisenbahn Verkehrsmittel A.G.,"Vol 1, p. 2357","Incorporated in Maryland July 26, 1921. Manufactures Silica Gel, a colloidal silica used in separating or combining gases, vapors, liquids, etc., for dehydrating gases, air conditioning units, recovering solvents, refrigeration, etc. Also manufactures apparatus for its use on royalty basis. Contracts have been consummated with various interests in the United States, Great Britain, France and Germany. Properties include a plant at Curtis Bay, Md., and a dehydrating plant at Niagara Falls. Copeland-Silica Gel Corp., incorporated under Maryland laws in April, 1928, to manufacture contract with The Safety Car Heating & Lighting Co. covering exclusive rights for Silica Gel refrigeration in transportation or motive field in North America. On April 14, 1933, Chester P. Hockley was appointed receiver for the corporation by the United States District Court at Baltimore, Md. Petition for receivership was filed by the Pyrites Company, Inc., of Wilmington, Del., and was filed by Davison Chemical Co. for receivership. Subsidiaries include Silica Gel, Ltd., incorporated under English laws in 1924; Silica Gel Foreign Petroleum Corp., incorporated in Maryland July 15, 1924, and Silica Gel Products Corp., incorporated to exploit Silica Gel in Germany."
Kuehltransit A.-G.,The Silica Gel Corporation,USC,AG,The Silica Gel Corporation,Kueltransit A.G.,"Vol 1, p. 2357","Incorporated in Maryland July 26, 1921. Manufactures Silica Gel, a colloidal silica used in separating or combining gases, vapors, liquids, etc., for dehydrating gases, air conditioning units, recovering solvents, refrigeration, etc. Also manufactures apparatus for its use on royalty basis. Contracts have been consummated with various interests in the United States, Great Britain, France and Germany. Properties include a plant at Curtis Bay, Md., and a dehydrating plant at Niagara Falls. Copeland-Silica Gel Corp., incorporated under Maryland laws in April, 1928, to manufacture contract with The Safety Car Heating & Lighting Co. covering exclusive rights for Silica Gel refrigeration in transportation or motive field in North America. On April 14, 1933, Chester P. Hockley was appointed receiver for the corporation by the United States District Court at Baltimore, Md. Petition for receivership was filed by the Pyrites Company, Inc., of Wilmington, Del., and was filed by Davison Chemical Co. for receivership. Subsidiaries include Silica Gel, Ltd., incorporated under English laws in 1924; Silica Gel Foreign Petroleum Corp., incorporated in Maryland July 15, 1924, and Silica Gel Products Corp., incorporated to exploit Silica Gel in Germany."
Julius Pintsch A.-G.,The Silica Gel Corporation,USC,AG,The Silica Gel Corporation,Julius Pintsch A.G.,"Vol 1, p. 2357","Incorporated in Maryland July 26, 1921. Manufactures Silica Gel, a colloidal silica used in separating or combining gases, vapors, liquids, etc., for dehydrating gases, air conditioning units, recovering solvents, refrigeration, etc. Also manufactures apparatus for its use on royalty basis. Contracts have been consummated with various interests in the United States, Great Britain, France and Germany. Properties include a plant at Curtis Bay, Md., and a dehydrating plant at Niagara Falls. Copeland-Silica Gel Corp., incorporated under Maryland laws in April, 1928, to manufacture contract with The Safety Car Heating & Lighting Co. covering exclusive rights for Silica Gel refrigeration in transportation or motive field in North America. On April 14, 1933, Chester P. Hockley was appointed receiver for the corporation by the United States District Court at Baltimore, Md. Petition for receivership was filed by the Pyrites Company, Inc., of Wilmington, Del., and was filed by Davison Chemical Co. for receivership. Subsidiaries include Silica Gel, Ltd., incorporated under English laws in 1924; Silica Gel Foreign Petroleum Corp., incorporated in Maryland July 15, 1924, and Silica Gel Products Corp., incorporated to exploit Silica Gel in Germany."
Ritter AG,"Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)",USO,AG,Ritter Dental Mfg. Co. Inc.,"Ritter, A. G.","Vol 1, p. 2400","Ritter Dental Mfg. Co. Inc. manufactures equipment for dental offices and laboratories. It owns 96.9% of Ritter, A. G. (Germany), which operates two plants in Baden, Germany, and owns 95.8% of Forstbaner Dental Equipment Co. Financial statements are subject to adequacy of Ritter A. G. provision for German taxes, with figures converted at 4.2 marks to the dollar. In July 1933, the company acquired Electro-Dental Mfg. Co. of Philadelphia. In 1933, it organized Ritter Dental Equipment Co., Inc. as a new subsidiary for retail sales in Chicago. The company has 7% cumulative preferred stock ($2,500,000 authorized and outstanding, $100 par) and common stock (160,000 shares authorized and outstanding, no par)."
,Royal Baking Powder Company,USO,Others,Standard Brands Inc.,,"Vol 1, p. 2524",Current assets and current liabilities in foreign countries are converted at current rates of exchange as of Dec. 31 (the excess of current rates over par of exchange being credited to a reserve for exchange adjustments) and non-current foreign items are converted at par or cost of exchange. Accounts certified by Haskins & Sells.
"Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.",Royal Baking Powder Company,USO,GmbH,Royal Baking Powder Company,"Deutsche Royal Backpulver, Gesellschaft m.b.H., Berlin, Germany","Vol 1, p. 2525","Incorporated March 1, 1899, in New Jersey, as a consolidation of several baking powder and chemical companies. The firm manufactures baking powder, gelatin desserts, and other products. It operates plants in Brooklyn, NY, Chicago, IL, and through subsidiaries, in Liverpool, England, and Cape Town, South Africa. A significant event was the acquisition of a majority of its preferred and common stocks by Standard Brands, Inc. in 1929. The company's capital structure includes 6% cumulative preferred stock ($10,000,000 authorized and outstanding) and common stock (800,000 shares authorized and outstanding, no par). Standard Brands Inc. owns over 99% of both preferred and common stock. Dividends on common stock were paid regularly, with varying percentages from 1899 to 1928, and then as cents per share on no par stock from 1928 to 1934. Subscription rights were offered in 1928 related to the segregation of E. W. Gillett Co., Ltd., and American Maise-Products Co. subsidiaries."
Wrigley Aktiengesellschaft,Wm. Wrigley Jr. Company,USO,AG,WM. WRIGLEY JR. COMPANY,Wrigley A.G.,"Vol 1, p. 2533","Incorporated in Delaware, Oct. 18, 1927, as Wrigley Corp., and present title adopted Oct. 31, 1927. Originally incorporated in West Virginia, Nov. 11, 1910, as Wm. Wrigley Jr. Co. and a close corporation until Sept. 1919. Manufactures chewing gum under trade names of Spearmint, Doublemint, Juicy Fruit and P.K.'s. Owns factories in Chicago, Ill.; Frankfort, Germany; London, Eng.; Toronto, Canada and Sydney, Australia, with a combined daily capacity of 875,000 boxes or 7,500,000 packages. The German plant is operated by its subsidiary, Wrigley A.G. The company's charter also empowers it to hold stocks in other companies. In 1928, it acquired Listerated Gum Corp. It owns the Wrigley office building, which is free and clear of mortgage liens. The company has about 1,226 employees."
Otis Aufzugswerke G.m.b.H.,Otis Elevator Company,USO,GmbH,Otis Elevator Company,Otis Aufzugswerke G.m.b.H.,"Vol 1, p. 2581","Incorporated under New Jersey laws on November 28, 1898, as a consolidation of elevator manufacturers. In 1929, it merged with Graham & Norton Co., a manufacturer of elevator accessories. The company owns plants in Buffalo and Yonkers, N.Y.; Harrison, N.J.; and Quincy, Ill., and operates domestic offices in all principal U.S. cities. It also has agents in numerous foreign countries and U.S. possessions. The company and its subsidiaries manufacture passenger and freight elevators of all types, escalators, hoists, incline railways, spiral conveyors, and elevator accessories. They also manufacture steel castings for their own products and for other companies. As of December 31, 1933, the company, including its affiliated companies, had 10,649 employees."
Bergwerkgesellschaft Georg von Giesche's Erben,Silesian-American Corporation,USO,GmbH,Silesian-American Corporation,Georg von Giesche's Heirs Mining Co. (Bergwerksgesellschaft Georg von Giesche's Erben),"Vol 1, p. 2648","Silesian-American Corporation was incorporated in Delaware on July 7, 1926, to acquire from Georg von Giesche's Heirs Mining Co. (Bergwerksgesellschaft Georg von Giesche's Erben), a German corporation, all of the capital stock of the Giesche Co. (Giesche Spolka Akcyjna), a Polish corporation, along with the German company's $6,000,000 sinking fund mortgage bonds. The Giesche concession properties include proved zinc ore reserves, concentrating, smelting, and refining plants for zinc, lead, and silver, rolling mills, factories, and approximately 1,400 workingmen's homes and 19,000 acres of land (10,000 acres forest). Silesian-Holding Co., incorporated under Delaware laws, owns the preferred and common shares of Silesian-American Corp. All stock of Silesian-Holding Co. is under a voting trust agreement, with the majority owned by Anaconda Copper Mining Co."
Allgemeine Elektricitäts-Gesellschaft,International General Electric Company Inc.,USO,AG,International General Electric Company,Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.),"Vol 1, p. 2654","General Electric Company's German subsidiary, Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.), along with Alsthom (French affiliation of General Electric), formed a new Spanish company called Gaertgen in 1931. Gaertgen, with an initial capital of 2,000,000 pesetas, was established to build a Spanish factory and cooperate in the electrification of Spanish railways. The German and French proportions in Gaertgen were 1 to 2 for imported foreign products. Allgemeine Elektricitaets-Gesellschaft previously controlled two small Spanish corporations (one a trade company and one an assembling plant) which formed the basis for the new Spanish corporation to overcome high duties. Additionally, in February 1930, General Electric Co. took participating debentures of Siemens & Halske, A. G., a German firm."
"Siemens & Halske, A.G.",International General Electric Company Inc.,USOP,AG,International General Electric Company,"Siemens & Halske, A.G.","Vol 1, p. 2654","General Electric Company's German subsidiary, Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.), along with Alsthom (French affiliation of General Electric), formed a new Spanish company called Gaertgen in 1931. Gaertgen, with an initial capital of 2,000,000 pesetas, was established to build a Spanish factory and cooperate in the electrification of Spanish railways. The German and French proportions in Gaertgen were 1 to 2 for imported foreign products. Allgemeine Elektricitaets-Gesellschaft previously controlled two small Spanish corporations (one a trade company and one an assembling plant) which formed the basis for the new Spanish corporation to overcome high duties. Additionally, in February 1930, General Electric Co. took participating debentures of Siemens & Halske, A. G., a German firm."
Osram G.m.b.H. Kommanditgesellschaft,International General Electric Company Inc.,USC,Others,"International General Electric Company, Inc.","Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany","Vol 1, p. 2659","In 1932 International General Electric Co. acquired $10,000,000 par value of participating debentures of Siemens & Halske Aktiengesellschaft (Germany), out of a total of $14,000,000 par value sold in the United States. According to the company's annual report (1933) while these debentures give International General Electric Co. no vote in the affairs of Siemens and Halske A. G., it does give International General Electric a substantial participation in the profits, and the relations between the two companies are very cordial."
,Valvoline Oil Co.,Others,Others,VALVOLINE OIL CO.,,"Vol 1, p. 2662","Incorporated under Ohio laws in 1923 as a reorganization of a company of similar name incorporated in 1889. Business established in 1865 as a partnership under the name of Alms & Doepke. Store and buildings located in Cincinnati, Ohio cover more than a city block and contain 621,735 sq. ft. of floor space. Management: Officers: W. L. Doepke, Pres.; L. F. Schlueter, Vice-Pres. and Treas.; Fred Short, Sec. Cincinnati, Ohio. Directors: W. L. Doepke, L. F. Schlueter, H. H. Wiggers, A. F. Morganstern, Fred Short, Fred Tuke, Gilbert Bettman. Cincinnati, O. Annual Meeting: Third Tuesday in Jan. Office: Cincinnati, O. CAPITAL STOCK: 1. Alms & Doepke Co. 7% cum. pref.: Authorized, $2,400,000; outstanding, $1,925,400; par $100. Has preference as to assets and dividends. Callable at Jan. 1, 1933 at 105 as a whole or in part on any dividend date on 30 days' notice. Has voting power only in the event of default of four dividends. Regular dividends paid quarterly Jan. 1, etc. (to stock of record Dec. 15, etc.), to Oct. 23, 1933, incl. 2. Alms & Doepke Co. common: Authorized and outstanding, $1,200,000; par $100. Dividend of 1% paid Feb. 15, 1930, to stock of record Feb. 5. Later dividends, if any, not reported. Transfer Agent and Registrar: Union Trust Co., Cincinnati, O. Number of stockholders, Dec. 31, 1932: Preferred, 420; common, 11."
,The North American Provision Company,Others,Others,The North American Provision Company,,"Vol 1, p. 2749",6% (formerly 7%) cum. preferred stock was retired during 1931.
National-Krupp Registrier-Kassen G.m.b.H.,The National Cash Register Company,USO,GmbH,NATIONAL CASH REGISTER COMPANY,National Register Kassen Gesellschaft M.b.H.,"Vol 1, p. 2753","Incorporated in Maryland, Jan. 2, 1926, succeeding a company of same name, incorporated March 19, 1882. Plant located at Dayton, O. occupies 247 acres of land, on which are located 24 buildings, having 50 acres of floor space. Company manufactures cash registers and adding-typewriters and kindred devices. The National Register Kassen Gesellschaft M.b.H. operates a modern plant with 187,000 sq. ft. floor space in Berlin, Germany. On Jan. 31, 1929, company acquired over 99% (now 100% owned) of capital stock of Ellis Adding-Typewriter Co. by issuing 30,000 shares of class A common stock and paying $4,000,000 assets of Remington Cash Register Co. for $2,500,000. Plant of Ellis Adding-Typewriter Co. located in Newark, N. J., consists of 1.96 acres of land, 48,560 sq. ft. of floor space. Plant was closed in 1931 and all company's products are being made at Dayton, O. Company has branches or agencies in every important city in the world. Number of employees, May 25, 1934, 12,416."
Titangesellschaft m.b.H.,National Lead Company,USO,GmbH,National Lead Company,Titangesellschaft M. B. H.,"Vol 1, p. 2755","National Lead Company, in agreement with Die Interessengemeinschaft Farbenindustrie Aktiengesellschaft (I. G. Farbenindustrie A. G.), holds an interest in Titangesellschaft M. B. H. This German subsidiary operates a plant in Leverkusen, near Cologne, for the manufacture of titanium pigments, which are marketed in Germany and Central Europe."
I. G. Farbenindustrie,National Lead Company,USC,AG,National Lead Company, I. G. Farbenindustrie,"Vol 1, p. 2755","National Lead Company, in agreement with Die Interessengemeinschaft Farbenindustrie Aktiengesellschaft (I. G. Farbenindustrie A. G.), holds an interest in Titangesellschaft M. B. H. This German subsidiary operates a plant in Leverkusen, near Cologne, for the manufacture of titanium pigments, which are marketed in Germany and Central Europe."
F. W. Woolworth Co.,F. W. Woolworth Co.,USO,GmbH,F. W. Woolworth Company,"F. W. Woolworth Co. G. m. b. H., Berlin, Germany","Vol 1, p. 2767","The firm was organized in New York on December 15, 1911. Its German subsidiary, F. W. Woolworth Co. G. m. b. H., Berlin, Germany, was organized in 1932 and primarily operates ""five and ten cent"" stores, with an experimental addition of a 20 cent line in about 100 stores in Spring 1932. As of December 31, 1933, the company controlled 81 stores in Germany, out of a total of 1,941 stores across the United States, Great Britain, and Germany. The total number of employees as of May 1, 1934, was 54,480. The company also owns Woolco Realty Corp., incorporated in March 1924, which owns and manages the Woolworth Building in New York, purchased for $11,000,000."
