page,block,line,x0,y0,x1,y1,text,keyword,page_right,firm_name,german_subsidiary,notes,US company name,US Company,affiliated German firm name,German subsidiary,reviewed_notes,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affiliated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement
1840,42,6,84.0,389.826,530.125,403.626,"Sedete Anonyma Française, of Paris (capital, franes, 2,500,000) ; and the Kodak Gesellschaft m. b. H-, of Berlin ",Berlin,1840,Eastman Kodak Company,"Kodak Gesellschaft m. b. H. and Kodak Aktiengesellschaft, Berlin (which includes the Nagel factory at Stuttgart)","Eastman Kodak Company was incorporated in New Jersey in 1901, succeeding a business established in 1880. At its inception, it acquired Kodak Gesellschaft m. b. H. In 1928, it formed Recordak Corp. and purchased the camera works of Dr. August Nagel in Stuttgart, which became a branch of Kodak Aktiengesellschaft, Berlin. The company operates 13 plants globally, with two in Germany. German operations manufacture chemicals and film for motion picture, amateur, professional, and x-ray use for Germany and other parts of Europe. The Nagel factory in Stuttgart also produces Continental Kodaks and other amateur cameras. As of December 30, 1933, the company had 28,300 employees and maintained 12 establishments in Europe as part of its global sales distribution.",Eastman Kodak Company,Eastman Kodak Company,Chemische Werke Odin (Germany),Chemische Werke Odin (Germany),"In description: ""At its inception the present company acquired the entire captital stock of the following corporations: ... and Kodak Gesellschaft m. b. H., of Berlin (capital, marks, 100,000)"" ""On Dec., 1, 1931 purchased the camera works of Dr. August Nagel, located at Stuttgart, Germany. This factory is now operated under supervision of Dr. Nagel, as a branch of Kodak Aktiengesellschaft, Berlin."" Also in Subsidiaries.",True,False,False,True,False,True,False,False
1887,15,11,374.9,380.929,516.675,391.629,"Canada. Btagland, Franca Germany and ",German,1887,CHEMICAL RESEARCH CORP.,"Not mentioned. The text states that the gyro process is covered by patents in Germany, but does not list a German subsidiary.","Incorporated in Delaware in January 1938. 80% of its shares are owned by Pure Oil Co. and 10% by Alco Products Inc. The firm owns the gyro process for cracking crude petroleum, which is patented in various countries including Germany. It has agreements with Pure Oil Co. for pooling low-pressure vapor phase patents and with American Locomotive Co. (through its subsidiary Gyro Process Co.) for management of development, engineering, and sales of Gyro Products Co. American Locomotive Co. also has an option to purchase shares. According to the 1931 annual report, Gyro Process Co. cleared its obligations and declared its first dividend in December 1931.",CHEMICAL RESEARCH CORP.,Chemical Research Corp.,,,"""The Gyro process is covered by basic patents in the United States and Canada, England, France, Germany and other foreign countries.""",False,False,False,False,False,False,False,False
1930,26,11,378.0,638.057,518.575,651.158,"Belgium, Germany, and other foralgn ",German,1930,Consolidated Oil Corporation,The text mentions distribution outlets in Germany but does not name a specific German subsidiary.,"Incorporated in New York on Sept. 23, 1919, as Sinclair Consolidated Oil and Refining Company, the firm changed its name to Consolidated Oil Corp. in March 1933. Key acquisitions include the assets and business of Pierce Petroleum Corp. (May 1930), Rio Grande Oil Co. (Del.) (Sept 1930), and approximately 80% of the capital stock of Penn Mex Fuel Co. (Oct 1932). Through its subsidiary, Sinclair Refining Co., it acquired a 3% interest in Great Lakes Pipe Line Co. and the assets and business of Long Oil Co. (Kansas) in July 1933. In May 1934, the sale of Producers & Refiners Corp. and its 100% owned subsidiaries to Consolidated Oil Corp. was confirmed. The company operates 8 water terminals, a fleet of ocean tankers, owns approximately 6,700 tank cars, and has over 40,000 pumps installed at its total retail outlets. Distribution outlets are present in various foreign countries, including Germany.",Consolidated Oil Corporation,Consolidated Oil Corporation,,,"Marketing Facilities: Companies has distribution outlets in all states except Wyoming, Montana and Idaho; also in Cuba, Mexico, Great Britain, Holland, Belgium, Germany, and other foreign countries.",False,False,False,False,False,True,False,False
1939,8,9,72.5,278.038,518.497,293.338,"tn Canadian Industries, Ltd. During 1929, company also joined in the formation of two new German companies to un­",German,1939,E. I. DU PONT DE NEMOURS & COMPANY,"The text mentions the formation of ""two new German companies"" in 1929 to undertake the manufacture and sale of pyroxylin finishes (Duco) and Ventube (rubber-coated tubing) in Germany, but their specific names are not provided.","E. I. du Pont de Nemours & Company was incorporated in Delaware in 1915. It acquired the properties of E. I. du Pont de Nemours Powder Company in 1915 and Explosives Co. in 1924. The firm manufactures explosives, cellulose products, pyroxylin finishes (Duco), dyestuffs, ethyl alcohol, and cellophane. Key acquisitions include Excelsior Powder Manufacturing Co. (1922), stockholdings in Grasselli Chemical Co. of Ohio (1928), minority interests in Du Pont Rayon Co., Du Pont Cellophane Co., Inc., and Du Pont Ammonia Corp., and all properties of Krebs Pigment & Chemical Co. The company also increased its interest in Canadian Industries, Ltd. In 1930, it acquired the business of Roessler & Hasslacher Chemical Co. (N. Y.), organizing it as ""The R. & H. Chemicals Department."" In 1931, it acquired dyestuffs and organic chemical properties and business of The Newport Co., which became a subsidiary of Du Pont Organic Chemicals Dept. As of December 31, 1933, the company had 36,000 employees (including wholly-owned subsidiaries) and held a controlling interest (56%) in Remington Arms Co., Inc. Du Pont also had significant investments in General Motors Corp., holding 12,202,121 shares of common stock (28.05%) directly and additional shares indirectly through Managers Securities Co. as of December 31, 1933.",E. I. DU PONT DE NEMOURS & COMPANY,E.I. du Pont de Nemours and Company,,,"The text mentions the ""company joined the formation of two new German companies"" in 1929 to undertake the manufacture and sale of pyroxylin finishes (Duco) and Ventube (rubber-coated tubing) in Germany, but their specific names are not provided.",True,False,False,False,False,False,False,False
1963,116,4,376.3,677.195,517.914,688.994,"Holland: Shanghai, China; Berlin. Ger­",Berlin,1963,The Lambert Company,"Laboratories in Berlin, Germany (under Lambert Pharmacal Company)","The Lambert Company was incorporated in Delaware on Mar. 15, 1926, to acquire a controlling interest in Lambert Pharmacal Company and the entire capital stock of Lambert & Feasley, Inc., an advertising agency. On Feb. 19, 1930, it acquired the entire capital stock of Pro-phy-lac-tic Brush Co., Del. Lambert Pharmacal Company, controlled by The Lambert Company, was incorporated in Delaware on Jan. 21, 1927, to acquire all shares of Lambert Pharmacal Co., incorporated in Missouri on Nov. 12, 1884, and established in 1879. It manufactures and sells pharmaceutical products including liquid antiseptic, tooth paste, shaving cream, rub and throat tablets, marketed under the name 'Listerine.' Assets and liabilities of foreign branches and agencies are reflected at net book value thereof, adjusted for depreciation, doubtful accounts, and exchange rates prevailing Dec. 31, and certified by Ernst & Ernst.",The Lambert Company,The Lambert Company,,,"Laboratories in Berlin, Germany (under Lambert Pharmacal Company)",False,False,False,False,False,True,False,False
2019,23,6,74.15,343.659,520.775,359.458,"Mergenthaler SetsmaacMnen-Fabrik Gjn.bH. of Germany. Linotype i Machinery, Ltd., has a plant at Broadheath, near ",German,2019,MERGENTHALER LINOTYPE COMPANY,G.m.b.H. of Germany,"Mergenthaler Linotype Company was incorporated under New York laws on December 18, 1895, as successor to the Mergenthaler Linotype Co. of N. J. In 1909, it acquired a controlling interest in G.m.b.H. of Germany, among other entities. The company manufactures and sells linotypes and other printers' appliances, with approximately 41,000 in use in America and over 17,000 elsewhere. It maintains selling branches in major US cities and has a significant plant in Brooklyn, NY.",MERGENTHALER LINOTYPE COMPANY,Mergenthaler Linotype Company,Mergenthaler Setzmaschinen-Fabrik G.m.b.H.,"Mergenthaler Setzmaschinen-Fabrik, G.m.b.H.","""In 1909 acquired a controlling interest in ....the Mergenthaler Setzmaschinen-Fabrik G.m.b.H. of Germany.""",True,False,False,True,False,False,False,False
2237,13,3,311.3,248.244,530.0,257.936,Deutsche Libbey-Owens Qeaellechatt fuer Maschlnelle Glasherstel- ,Deutsch,2237,Libbey-Owens-Ford Glass Co.,Deutsche Libbey-Owens Gesellschaft fuer Maschinelle Glasherstel-lung (Aktiengesellschaft),"The firm operates gas properties in Kanawha District, W. Va., ensuring supply. It acquired Fairfield Sheet Glass Co. in 1928, Edward Ford Plate Glass Co. in 1930, and Ottawa Ill. plants of National Plate Glass Co. in 1932. The company also purchased patents from Triplex Safety Glass Co. of North America and entered a cross-license agreement with Pittsburgh Plate Glass Co. It was a decisive factor in the formation of the Belgian Glass Trust (Union des Verreries Mecaniques Belges), with Libbey-Owens' Belgian factory at Moll responsible for 30% of total Belgian glass output. Annual production is estimated at Libbey-Owens 60,000, Lodalinssart 68,000, and others 32,000. The firm received $50,948 in dividends from foreign companies in 1933 and $111,889 in 1932.",Libbey-Owens-Ford Glass Company,Libbey-Owens-Ford Glass Company,Deutsche Libbey-Owens Gesellschaft fuer Maschinelle Glasherstellung (Aktiengesellschaft),,Deutsche Libbey-Owens Gesellschaft fuer Maschinelle Glasherstellung (Aktiengesellschaft) - Licensee,False,False,False,False,False,False,False,True
2240,51,4,79.45,507.706,512.45,518.305,"Company also has offices in New York, Paris, Lyons, Calais, Brussels, London, Belfast, Berlin, Vienna, Florence, Cham- ",Berlin,2240,THE MAY DEPARTMENT STORES COMPANY,Offices in Berlin,"Incorporated under the laws of New York, June 4, 1910. The company operates department stores and has acquired several businesses over time, including Shoenberg Mercantile Co. of St. Louis, The Famous, May Shoe & Clothing Co. of Denver, May Co. Cleveland, William Barr Dry Goods Co. of St. Louis, and Hamberger & Sons Department Store. It controls The M. O'Neil Co. of Akron, Soostman Investment Co., Morton Real Estate Investment Co., Anita Creamery Co., and Tollet Co. and Koch Chemical Co. Stores are owned and operated in Akron, Cleveland, Denver, Los Angeles, and St. Louis. The company also has offices in various international cities including New York, Paris, Lyons, Calais, Brussels, London, Belfast, Berlin, Vienna, Florence, Cham-pion, Naples, Rome, Athens, Cairo, Bombay, Calcutta, and Shanghai. As of May 1, 1934, the company employed about 14,000 people in its stores. It also owns May Building Co. (Ohio) and May Building Co. of Mo., both of which are fully owned subsidiaries.",THE MAY DEPARTMENT STORES COMPANY,The May Department Store Co.,,,"Company also has offices in ...., Berlin,...",False,False,False,False,False,True,False,False
2297,12,2,373.9,131.581,515.35,144.782,"sobart General Office, Berlin, Gei'maay ■ ",Berlin,2297,General American Tank Car Corp.,Allgemeine Transportmittel Aktiengesellschaft,"Reserve for all taxes included in cost of sales and expense. Before following adjustments: Credit; sundry adjustments, $118; Debits: Adjustment of cost of treasury stock to $5 per share stated value, after credit of proceeds from stock sold, $8,072,742; adjustment of cost of treasury stock acquired during 1922 to $5 per share stated value, $7,645,248. Before debiting $188. The 7% preferred formerly outstanding was retired Jan. 1, 1930, at 110. Amounts from 1930 to 1933, inclusive, certified by Ernst & Ernst, subject to comments.",General American Transportation Corporation,General American Transportation Corporation,Allgemeine Transportmittel Aktiengesellschaft,,"Under section Subsidiaries: ""Operating in continental Europe refridgerator, tank and all classes of railway cars.""",True,False,True,False,False,False,False,False
2301,25,7,305.05,554.178,512.7,564.879,"gium, Holland, Germany, Scandinavia, Switzerland, Italy and ",German,2301,Gulf Oil Corporation of Pennsylvania,"The ""G. L. M. Group"" (Societe Anonyme d'Armement d'Industrie et de Commerce), approximately 90% stock-owned by Gulf Oil Corp., operates in Germany for marketing and distributing lubricating fuel and gas oils.","Incorporated in Pennsylvania on August 9, 1922, as successor to the Gulf Oil Corporation (incorporated in New Jersey on February 18, 1907). The firm holds all capital stock (except directors' qualifying shares) of numerous subsidiaries, including Gulf Oil Co. and Gulf Research & Development Co. It operates oil fields and pipelines across various regions including the US (Kansas, Arkansas, Texas, Oklahoma, New Mexico, Louisiana, California), Mexico, and Venezuela. Refineries are located in Port Arthur, Fort Worth, Sweetwater (Texas), Staten Island (New York), Philadelphia, Pittsburgh (Pennsylvania), Toledo, and Cincinnati (Ohio). The company maintains distributing stations in 28 states and the District of Columbia. As of January 1, 1934, it operated 5,152 wells producing approximately 164,571 barrels (net plus royalty) per day and over 7,000 miles of pipelines with a capacity of 200,000 barrels per day. Its fleet includes 37 ocean-going steamers, 6 barges, 4 tugs, and 6 motor ships. Crude oil production (including royalty oil) was 60,068,286 barrels in 1933, with net production (excluding royalty oil) at 50,770,884 barrels for the same year. The main office is located at Gulf Building, Pittsburgh, Pennsylvania.",Gulf Oil Corporation of Pennsylvania,Gulf Oil Corporation,,,"Foreign Marketing Group: Gulf Oil Corp. controls through approximately 90% stock ownership of several English, Dutch, and Belgium companies, known as ""S. A. L. C. Group"" a large marketing organization and business, dealing principally in lubricating fuel and gas oils in England, Belgium, Holland, Germany, Scandinavia, Switzerland, Italy and Spain.",False,False,False,False,False,False,False,False
2338,4,7,76.8,164.978,516.714,174.098,"Damm 4 Ladwig Company of Velbert, Germany, a controlling interest in two affiliated companies, Aktiengeadlachaft Vere­",German,2338,THE YALE & TOWNE MANUFACTURING COMPANY,"Damm & Ladwig Company of Velbert, Germany; Aktiengesellschaft Troppau, Sachsen-Schlesische Maschinenfabrik; Brankaer Eisenwerke; Borge bei Leichters, G.m.b.H. of Solingen, Germany; The Valbert Branch of The Yale & Towne Manufacturing Co.","Financial and Operating Ratios: See blue paper insert in center of Manual. Less reserve for depreciation: 1933, 19,100 shares; 1932, 13,100 shares; 1931, 6,198,610. Yale & Towne Mfg. Co. various divisions and German subsidiaries. Current assets and current liabilities in foreign countries converted into U. S. dollars at rates of exchange prevailing Dec. 31, 1932. The aggregate equities in subsidiaries not consolidated exceeded by a moderate amount the investments in and advances to such subsidiaries, and the operating results of these subsidiaries for the year were substantially reflected in the company's accounts. At lower of cost or market. Purchased for resale to employees: 1933, 13,100 shares; 1932, 5,500 shares. After deducting $657,300 to reduce that portion of plant and equipment in excess of normal requirements to estimated conservative values. Note: Assets are shown net after providing adequate reserves against possible losses, depreciation and obsolescence of $7,631,593 as of Dec. 31, 1933 and $8,684,095 as of Dec. 31, 1931. CERTIFICATION OF ACCOUNTS: Accounts certified by Barrow, Wade, Guthrie & Co. Working Capital: 1933, current assets, $5,896,896; current liabilities, $989,751; net current assets, $4,907,145. 1932, current assets, $5,486,199; current liabilities, $787,866; net current assets, $4,698,333. 1931, current assets, $5,898,789; current liabilities, $591,104; net current assets, $5,307,685.",THE YALE & TOWNE MANUFACTURING COMPANY,The Yale & Towne Manufacturing Company,"Damm & Ladwig Company of Velbert, Germany",,"In description: In Dec., 1927, company purchased Damm & Ladwig Company of Velbert, Germany, a controlling interest in two affliated companies, Aktiengesellschaften Vereinigte Riegel und Schloss Fabriken, Velbert, Germany, and Brankaer Eisenwerke Aktiengesellschaft, Troppau, Czecho-Slovakia, the three properties compriaing 116 acres of land with 20 buildingd with a comabined floor space of  425,000 sq. ft. and employing 1750 people. In 1928, company purchased the plant and business of Boge & Kastern, G. m. b. H., of Solingen, germany.",True,False,True,False,False,False,False,False
2338,4,7,76.8,164.978,516.714,174.098,"Damm 4 Ladwig Company of Velbert, Germany, a controlling interest in two affiliated companies, Aktiengeadlachaft Vere­",German,2338,THE YALE & TOWNE MANUFACTURING COMPANY,"Damm & Ladwig Company of Velbert, Germany; Aktiengesellschaft Troppau, Sachsen-Schlesische Maschinenfabrik; Brankaer Eisenwerke; Borge bei Leichters, G.m.b.H. of Solingen, Germany; The Valbert Branch of The Yale & Towne Manufacturing Co.","Financial and Operating Ratios: See blue paper insert in center of Manual. Less reserve for depreciation: 1933, 19,100 shares; 1932, 13,100 shares; 1931, 6,198,610. Yale & Towne Mfg. Co. various divisions and German subsidiaries. Current assets and current liabilities in foreign countries converted into U. S. dollars at rates of exchange prevailing Dec. 31, 1932. The aggregate equities in subsidiaries not consolidated exceeded by a moderate amount the investments in and advances to such subsidiaries, and the operating results of these subsidiaries for the year were substantially reflected in the company's accounts. At lower of cost or market. Purchased for resale to employees: 1933, 13,100 shares; 1932, 5,500 shares. After deducting $657,300 to reduce that portion of plant and equipment in excess of normal requirements to estimated conservative values. Note: Assets are shown net after providing adequate reserves against possible losses, depreciation and obsolescence of $7,631,593 as of Dec. 31, 1933 and $8,684,095 as of Dec. 31, 1931. CERTIFICATION OF ACCOUNTS: Accounts certified by Barrow, Wade, Guthrie & Co. Working Capital: 1933, current assets, $5,896,896; current liabilities, $989,751; net current assets, $4,907,145. 1932, current assets, $5,486,199; current liabilities, $787,866; net current assets, $4,698,333. 1931, current assets, $5,898,789; current liabilities, $591,104; net current assets, $5,307,685.",THE YALE & TOWNE MANUFACTURING COMPANY,The Yale & Towne Manufacturing Company,"Aktiengesellschaft Vereinigte Riegel und Schloss Fabriken, Velbert",,"In description: In Dec., 1927, company purchased Damm & Ladwig Company of Velbert, Germany, a controlling interest in two affliated companies, Aktiengesellschaften Vereinigte Riegel und Schloss Fabriken, Velbert, Germany, and Brankaer Eisenwerke Aktiengesellschaft, Troppau, Czecho-Slovakia, the three properties compriaing 116 acres of land with 20 buildingd with a comabined floor space of  425,000 sq. ft. and employing 1750 people. In 1928, company purchased the plant and business of Boge & Kastern, G. m. b. H., of Solingen, germany.",True,False,True,False,False,False,False,False
2338,4,7,76.8,164.978,516.714,174.098,"Damm 4 Ladwig Company of Velbert, Germany, a controlling interest in two affiliated companies, Aktiengeadlachaft Vere­",German,2338,THE YALE & TOWNE MANUFACTURING COMPANY,"Damm & Ladwig Company of Velbert, Germany; Aktiengesellschaft Troppau, Sachsen-Schlesische Maschinenfabrik; Brankaer Eisenwerke; Borge bei Leichters, G.m.b.H. of Solingen, Germany; The Valbert Branch of The Yale & Towne Manufacturing Co.","Financial and Operating Ratios: See blue paper insert in center of Manual. Less reserve for depreciation: 1933, 19,100 shares; 1932, 13,100 shares; 1931, 6,198,610. Yale & Towne Mfg. Co. various divisions and German subsidiaries. Current assets and current liabilities in foreign countries converted into U. S. dollars at rates of exchange prevailing Dec. 31, 1932. The aggregate equities in subsidiaries not consolidated exceeded by a moderate amount the investments in and advances to such subsidiaries, and the operating results of these subsidiaries for the year were substantially reflected in the company's accounts. At lower of cost or market. Purchased for resale to employees: 1933, 13,100 shares; 1932, 5,500 shares. After deducting $657,300 to reduce that portion of plant and equipment in excess of normal requirements to estimated conservative values. Note: Assets are shown net after providing adequate reserves against possible losses, depreciation and obsolescence of $7,631,593 as of Dec. 31, 1933 and $8,684,095 as of Dec. 31, 1931. CERTIFICATION OF ACCOUNTS: Accounts certified by Barrow, Wade, Guthrie & Co. Working Capital: 1933, current assets, $5,896,896; current liabilities, $989,751; net current assets, $4,907,145. 1932, current assets, $5,486,199; current liabilities, $787,866; net current assets, $4,698,333. 1931, current assets, $5,898,789; current liabilities, $591,104; net current assets, $5,307,685.",THE YALE & TOWNE MANUFACTURING COMPANY,The Yale & Towne Manufacturing Company,"Brankaer Eisenwerke Aktiegesellschaft, Troppau (Czechoslovakia)",,"In description: In Dec., 1927, company purchased Damm & Ladwig Company of Velbert, Germany, a controlling interest in two affliated companies, Aktiengesellschaften Vereinigte Riegel und Schloss Fabriken, Velbert, Germany, and Brankaer Eisenwerke Aktiengesellschaft, Troppau, Czecho-Slovakia, the three properties compriaing 116 acres of land with 20 buildingd with a comabined floor space of  425,000 sq. ft. and employing 1750 people. In 1928, company purchased the plant and business of Boge & Kastern, G. m. b. H., of Solingen, germany.",True,False,True,False,False,False,False,False
2338,4,7,76.8,164.978,516.714,174.098,"Damm 4 Ladwig Company of Velbert, Germany, a controlling interest in two affiliated companies, Aktiengeadlachaft Vere­",German,2338,THE YALE & TOWNE MANUFACTURING COMPANY,"Damm & Ladwig Company of Velbert, Germany; Aktiengesellschaft Troppau, Sachsen-Schlesische Maschinenfabrik; Brankaer Eisenwerke; Borge bei Leichters, G.m.b.H. of Solingen, Germany; The Valbert Branch of The Yale & Towne Manufacturing Co.","Financial and Operating Ratios: See blue paper insert in center of Manual. Less reserve for depreciation: 1933, 19,100 shares; 1932, 13,100 shares; 1931, 6,198,610. Yale & Towne Mfg. Co. various divisions and German subsidiaries. Current assets and current liabilities in foreign countries converted into U. S. dollars at rates of exchange prevailing Dec. 31, 1932. The aggregate equities in subsidiaries not consolidated exceeded by a moderate amount the investments in and advances to such subsidiaries, and the operating results of these subsidiaries for the year were substantially reflected in the company's accounts. At lower of cost or market. Purchased for resale to employees: 1933, 13,100 shares; 1932, 5,500 shares. After deducting $657,300 to reduce that portion of plant and equipment in excess of normal requirements to estimated conservative values. Note: Assets are shown net after providing adequate reserves against possible losses, depreciation and obsolescence of $7,631,593 as of Dec. 31, 1933 and $8,684,095 as of Dec. 31, 1931. CERTIFICATION OF ACCOUNTS: Accounts certified by Barrow, Wade, Guthrie & Co. Working Capital: 1933, current assets, $5,896,896; current liabilities, $989,751; net current assets, $4,907,145. 1932, current assets, $5,486,199; current liabilities, $787,866; net current assets, $4,698,333. 1931, current assets, $5,898,789; current liabilities, $591,104; net current assets, $5,307,685.",THE YALE & TOWNE MANUFACTURING COMPANY,The Yale & Towne Manufacturing Company,"Boge & Kastern, G.m.b.H. of Solingen, Germany",B.K.S. Handelsgesellschaft m.b.H.,"In description: In Dec., 1927, company purchased Damm & Ladwig Company of Velbert, Germany, a controlling interest in two affliated companies, Aktiengesellschaften Vereinigte Riegel und Schloss Fabriken, Velbert, Germany, and Brankaer Eisenwerke Aktiengesellschaft, Troppau, Czecho-Slovakia, the three properties compriaing 116 acres of land with 20 buildingd with a comabined floor space of  425,000 sq. ft. and employing 1750 people. In 1928, company purchased the plant and business of Boge & Kastern, G. m. b. H., of Solingen, germany.",True,False,False,True,False,False,False,False
2350,22,2,78.25,643.05,517.875,652.8,"Woithington Co.,Inc., Virginia; Elizabethport pghterage Co., New Jersey; Worthington-SimpBonTLtd., England; Deutsche ",Deutsch,2350,WORTHINGTON PUMP AND MACHINERY CORPORATION,"Deutsche Worthington Gesellschaft, m. b. H.","Incorporated under the laws of Virginia, April 20, 1916, as successor, through reorganization, of the International Steam Pump Co., which was placed in the hands of receivers in August, 1914. Company owns in fee the following works: Elmwood Place, Ohio, 17 acres; Holyoke, Mass., 7¾ acres; Buffalo, N. Y., 22 acres, and Harrison, N. J., 34 acres. Floor space of plants (square feet): Elmwood Place, O., 305,365; Holyoke, Mass., 302,617; Buffalo, N. Y., 339,090; Harrison, N. J., 964,489; total, 1,911,561 square feet. Blake & Knowles Works located at Cambridge, Mass., were transferred in 1927, to other plants of the corporation. Products include pump steam condensers; water meters; stationary and marine Diesel engines; locomotive, gas engines, rock drills, etc. In 1930, acquired certain assets of Gilman Manufacturing Co., East Boston, Mass., manufacturers of rock drills and in 1931 certain assets of Metalweld Co. of Philadelphia, manufacturer of portable air compressors. Operations of both companies were transferred to the Harrison (N. J.) Works. Consolidation into 3 plants was completed during 1933. Unfilled Orders, as of Dec. 31: 1922, $5,881,421; 1923, $5,611,237; 1924, $3,169,133; 1925, $3,436,737; 1926, $3,020,881; 1927, $4,118,049; 1928, $4,327,951; 1929, $4,140,148; 1930, $4,529,060; later years not reported. The meter operations are conducted by an affiliate, The Worthington-Gamon Meter Co.",WORTHINGTON PUMP AND MACHINERY CORPORATION,Worthington Pump and Machinery Corp.,"Deustche Worthington Gesellschaft, m.b.H., germany",Deutsche Worthington Gesellschaft m.b.H.,"In section Subsidiaries: Company onws or controls the following subsidiaries: ... Deutsche Worthington Gesellschaft, m. b. H., Germany",True,False,False,True,False,False,False,False
2357,27,6,78.25,628.793,513.365,643.691,"France and Germany. Properties Include a plant at Curtis Bay, Md., and a dehydrating plant at Niagara Fall*. Com­",German,2357,The Silica Gel Corporation,Silica Gel Products Corp.,"Incorporated in Maryland July 26, 1921. Manufactures Silica Gel, a colloidal silica used in separating or combining gases, vapors, liquids, etc., for dehydrating gases, air conditioning units, recovering solvents, refrigeration, etc. Also manufactures apparatus for its use on royalty basis. Contracts have been consummated with various interests in the United States, Great Britain, France and Germany. Properties include a plant at Curtis Bay, Md., and a dehydrating plant at Niagara Falls. Copeland-Silica Gel Corp., incorporated under Maryland laws in April, 1928, to manufacture contract with The Safety Car Heating & Lighting Co. covering exclusive rights for Silica Gel refrigeration in transportation or motive field in North America. On April 14, 1933, Chester P. Hockley was appointed receiver for the corporation by the United States District Court at Baltimore, Md. Petition for receivership was filed by the Pyrites Company, Inc., of Wilmington, Del., and was filed by Davison Chemical Co. for receivership. Subsidiaries include Silica Gel, Ltd., incorporated under English laws in 1924; Silica Gel Foreign Petroleum Corp., incorporated in Maryland July 15, 1924, and Silica Gel Products Corp., incorporated to exploit Silica Gel in Germany.",The Silica Gel Corporation,The Silica Gel Corporation,Eisenbahn Verkehrsmittel A.G.,,"The company is associated with the Railroad Equipment Co. (Eisenbahn Verkehrsmittel A.G.), the Refridgerator Transit Co. (Kueltransit A.G.), the Julius Pintsch A.G. and the Dutch Koel en Vrieshuizen N. V., in a jointly owned Swiss corporation formed for the development of iceless refridgeration.",False,False,False,False,False,False,False,True
2357,27,6,78.25,628.793,513.365,643.691,"France and Germany. Properties Include a plant at Curtis Bay, Md., and a dehydrating plant at Niagara Fall*. Com­",German,2357,The Silica Gel Corporation,Silica Gel Products Corp.,"Incorporated in Maryland July 26, 1921. Manufactures Silica Gel, a colloidal silica used in separating or combining gases, vapors, liquids, etc., for dehydrating gases, air conditioning units, recovering solvents, refrigeration, etc. Also manufactures apparatus for its use on royalty basis. Contracts have been consummated with various interests in the United States, Great Britain, France and Germany. Properties include a plant at Curtis Bay, Md., and a dehydrating plant at Niagara Falls. Copeland-Silica Gel Corp., incorporated under Maryland laws in April, 1928, to manufacture contract with The Safety Car Heating & Lighting Co. covering exclusive rights for Silica Gel refrigeration in transportation or motive field in North America. On April 14, 1933, Chester P. Hockley was appointed receiver for the corporation by the United States District Court at Baltimore, Md. Petition for receivership was filed by the Pyrites Company, Inc., of Wilmington, Del., and was filed by Davison Chemical Co. for receivership. Subsidiaries include Silica Gel, Ltd., incorporated under English laws in 1924; Silica Gel Foreign Petroleum Corp., incorporated in Maryland July 15, 1924, and Silica Gel Products Corp., incorporated to exploit Silica Gel in Germany.",The Silica Gel Corporation,The Silica Gel Corporation,Kueltransit A.G.,,"The company is associated with the Railroad Equipment Co. (Eisenbahn Verkehrsmittel A.G.), the Refridgerator Transit Co. (Kueltransit A.G.), the Julius Pintsch A.G. and the Dutch Koel en Vrieshuizen N. V., in a jointly owned Swiss corporation formed for the development of iceless refridgeration.",False,False,False,False,False,False,False,True
2357,27,6,78.25,628.793,513.365,643.691,"France and Germany. Properties Include a plant at Curtis Bay, Md., and a dehydrating plant at Niagara Fall*. Com­",German,2357,The Silica Gel Corporation,Silica Gel Products Corp.,"Incorporated in Maryland July 26, 1921. Manufactures Silica Gel, a colloidal silica used in separating or combining gases, vapors, liquids, etc., for dehydrating gases, air conditioning units, recovering solvents, refrigeration, etc. Also manufactures apparatus for its use on royalty basis. Contracts have been consummated with various interests in the United States, Great Britain, France and Germany. Properties include a plant at Curtis Bay, Md., and a dehydrating plant at Niagara Falls. Copeland-Silica Gel Corp., incorporated under Maryland laws in April, 1928, to manufacture contract with The Safety Car Heating & Lighting Co. covering exclusive rights for Silica Gel refrigeration in transportation or motive field in North America. On April 14, 1933, Chester P. Hockley was appointed receiver for the corporation by the United States District Court at Baltimore, Md. Petition for receivership was filed by the Pyrites Company, Inc., of Wilmington, Del., and was filed by Davison Chemical Co. for receivership. Subsidiaries include Silica Gel, Ltd., incorporated under English laws in 1924; Silica Gel Foreign Petroleum Corp., incorporated in Maryland July 15, 1924, and Silica Gel Products Corp., incorporated to exploit Silica Gel in Germany.",The Silica Gel Corporation,The Silica Gel Corporation,Julius Pintsch A.G.,,"The company is associated with the Railroad Equipment Co. (Eisenbahn Verkehrsmittel A.G.), the Refridgerator Transit Co. (Kueltransit A.G.), the Julius Pintsch A.G. and the Dutch Koel en Vrieshuizen N. V., in a jointly owned Swiss corporation formed for the development of iceless refridgeration.",False,False,False,False,False,False,False,True
